frame,reset,wall_ms,invalid,rgb_min,rgb_max,luma_mean,roi_luma_mean,dark_pixels,roi_dark_pixels,changed_half_values_from_first,maxabs_from_first,checked
0,1,1257.649000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
1,1,25.412000,,,,,,,,,,0
2,1,14.489000,,,,,,,,,,0
3,1,14.086000,,,,,,,,,,0
4,1,13.899000,,,,,,,,,,0
5,1,13.837000,,,,,,,,,,0
6,1,13.699000,,,,,,,,,,0
7,1,14.065000,,,,,,,,,,0
8,1,14.015000,,,,,,,,,,0
9,1,13.856000,,,,,,,,,,0
10,1,13.769000,,,,,,,,,,0
11,1,13.538000,,,,,,,,,,0
12,1,13.685000,,,,,,,,,,0
13,1,13.982000,,,,,,,,,,0
14,1,13.652000,,,,,,,,,,0
15,1,13.718000,,,,,,,,,,0
16,1,13.129000,,,,,,,,,,0
17,1,13.115000,,,,,,,,,,0
18,1,13.185000,,,,,,,,,,0
19,1,13.612000,,,,,,,,,,0
20,1,13.409000,,,,,,,,,,0
21,1,13.367000,,,,,,,,,,0
22,1,13.439000,,,,,,,,,,0
23,1,13.395000,,,,,,,,,,0
24,1,13.455000,,,,,,,,,,0
25,1,13.506000,,,,,,,,,,0
26,1,13.547000,,,,,,,,,,0
27,1,13.563000,,,,,,,,,,0
28,1,13.469000,,,,,,,,,,0
29,1,13.478000,,,,,,,,,,0
30,1,13.379000,,,,,,,,,,0
31,1,13.506000,,,,,,,,,,0
32,1,13.497000,,,,,,,,,,0
33,1,13.431000,,,,,,,,,,0
34,1,13.490000,,,,,,,,,,0
35,1,13.559000,,,,,,,,,,0
36,1,13.527000,,,,,,,,,,0
37,1,13.455000,,,,,,,,,,0
38,1,13.651000,,,,,,,,,,0
39,1,13.629000,,,,,,,,,,0
40,1,13.441000,,,,,,,,,,0
41,1,13.505000,,,,,,,,,,0
42,1,13.524000,,,,,,,,,,0
43,1,13.543000,,,,,,,,,,0
44,1,13.484000,,,,,,,,,,0
45,1,13.590000,,,,,,,,,,0
46,1,13.570000,,,,,,,,,,0
47,1,13.486000,,,,,,,,,,0
48,1,13.549000,,,,,,,,,,0
49,1,13.593000,,,,,,,,,,0
50,1,13.550000,,,,,,,,,,0
51,1,13.569000,,,,,,,,,,0
52,1,13.557000,,,,,,,,,,0
53,1,13.479000,,,,,,,,,,0
54,1,13.489000,,,,,,,,,,0
55,1,13.601000,,,,,,,,,,0
56,1,13.812000,,,,,,,,,,0
57,1,13.769000,,,,,,,,,,0
58,1,13.739000,,,,,,,,,,0
59,1,13.753000,,,,,,,,,,0
60,1,13.759000,,,,,,,,,,0
61,1,13.673000,,,,,,,,,,0
62,1,13.760000,,,,,,,,,,0
63,1,13.712000,,,,,,,,,,0
64,1,13.698000,,,,,,,,,,0
65,1,13.655000,,,,,,,,,,0
66,1,13.720000,,,,,,,,,,0
67,1,13.706000,,,,,,,,,,0
68,1,13.526000,,,,,,,,,,0
69,1,13.722000,,,,,,,,,,0
70,1,13.694000,,,,,,,,,,0
71,1,13.675000,,,,,,,,,,0
72,1,13.678000,,,,,,,,,,0
73,1,13.737000,,,,,,,,,,0
74,1,13.647000,,,,,,,,,,0
75,1,13.791000,,,,,,,,,,0
76,1,13.807000,,,,,,,,,,0
77,1,13.940000,,,,,,,,,,0
78,1,13.669000,,,,,,,,,,0
79,1,13.706000,,,,,,,,,,0
80,1,13.632000,,,,,,,,,,0
81,1,13.632000,,,,,,,,,,0
82,1,13.655000,,,,,,,,,,0
83,1,14.079000,,,,,,,,,,0
84,1,13.821000,,,,,,,,,,0
85,1,13.637000,,,,,,,,,,0
86,1,13.625000,,,,,,,,,,0
87,1,13.743000,,,,,,,,,,0
88,1,13.710000,,,,,,,,,,0
89,1,13.983000,,,,,,,,,,0
90,1,13.905000,,,,,,,,,,0
91,1,13.803000,,,,,,,,,,0
92,1,13.706000,,,,,,,,,,0
93,1,13.575000,,,,,,,,,,0
94,1,13.755000,,,,,,,,,,0
95,1,13.749000,,,,,,,,,,0
96,1,13.665000,,,,,,,,,,0
97,1,13.720000,,,,,,,,,,0
98,1,13.767000,,,,,,,,,,0
99,1,13.643000,,,,,,,,,,0
100,1,13.814000,,,,,,,,,,0
101,1,13.827000,,,,,,,,,,0
102,1,13.601000,,,,,,,,,,0
103,1,13.853000,,,,,,,,,,0
104,1,13.947000,,,,,,,,,,0
105,1,13.860000,,,,,,,,,,0
106,1,13.553000,,,,,,,,,,0
107,1,13.682000,,,,,,,,,,0
108,1,13.898000,,,,,,,,,,0
109,1,13.643000,,,,,,,,,,0
110,1,13.871000,,,,,,,,,,0
111,1,13.716000,,,,,,,,,,0
112,1,13.795000,,,,,,,,,,0
113,1,13.767000,,,,,,,,,,0
114,1,13.695000,,,,,,,,,,0
115,1,13.670000,,,,,,,,,,0
116,1,13.728000,,,,,,,,,,0
117,1,13.634000,,,,,,,,,,0
118,1,13.949000,,,,,,,,,,0
119,1,13.695000,,,,,,,,,,0
120,1,13.693000,,,,,,,,,,0
121,1,13.748000,,,,,,,,,,0
122,1,13.645000,,,,,,,,,,0
123,1,13.710000,,,,,,,,,,0
124,1,13.827000,,,,,,,,,,0
125,1,13.780000,,,,,,,,,,0
126,1,13.676000,,,,,,,,,,0
127,1,13.688000,,,,,,,,,,0
128,1,13.947000,,,,,,,,,,0
129,1,13.648000,,,,,,,,,,0
130,1,13.642000,,,,,,,,,,0
131,1,13.639000,,,,,,,,,,0
132,1,13.847000,,,,,,,,,,0
133,1,13.645000,,,,,,,,,,0
134,1,13.699000,,,,,,,,,,0
135,1,13.838000,,,,,,,,,,0
136,1,13.868000,,,,,,,,,,0
137,1,13.696000,,,,,,,,,,0
138,1,13.694000,,,,,,,,,,0
139,1,13.735000,,,,,,,,,,0
140,1,13.688000,,,,,,,,,,0
141,1,13.750000,,,,,,,,,,0
142,1,13.703000,,,,,,,,,,0
143,1,13.936000,,,,,,,,,,0
144,1,13.793000,,,,,,,,,,0
145,1,13.807000,,,,,,,,,,0
146,1,13.699000,,,,,,,,,,0
147,1,13.819000,,,,,,,,,,0
148,1,13.925000,,,,,,,,,,0
149,1,13.898000,,,,,,,,,,0
150,1,13.680000,,,,,,,,,,0
151,1,13.721000,,,,,,,,,,0
152,1,13.653000,,,,,,,,,,0
153,1,13.776000,,,,,,,,,,0
154,1,13.568000,,,,,,,,,,0
155,1,13.874000,,,,,,,,,,0
156,1,13.601000,,,,,,,,,,0
157,1,13.832000,,,,,,,,,,0
158,1,13.736000,,,,,,,,,,0
159,1,13.871000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
