kind,accumulators,groups,iterations,sample,launches,start_tick,end_tick,wall_ms,event_ms,flops_per_launch,wall_tflops,event_tflops
fp32d,2,64,8192,0,237,196482937,196483062,121.918000000,120.982894897,8589934592,16.698227483,16.827291991
fp32d,2,64,8192,1,237,196483062,196483171,121.606000000,121.280097961,8589934592,16.741069506,16.786055854
fp32d,2,64,8192,2,237,196483171,196483296,119.070000000,118.791160583,8589934592,17.097627432,17.137760826
fp32d,2,64,8192,3,237,196483296,196483421,122.792000000,122.520095825,8589934592,16.579374050,16.616168022
fp32d,2,64,8192,4,237,196483421,196483546,121.735000000,121.452476501,8589934592,16.723329349,16.762231261
fp32d,2,256,8192,0,77,196483671,196483812,133.086000000,132.873107910,34359738368,19.879625613,19.911477168
fp32d,2,256,8192,1,77,196483812,196483937,132.747000000,132.528457642,34359738368,19.930392810,19.963258469
fp32d,2,256,8192,2,77,196483937,196484078,132.310000000,132.093124390,34359738368,19.996219895,20.029050464
fp32d,2,256,8192,3,77,196484078,196484203,131.598000000,131.409057617,34359738368,20.104407775,20.133314265
fp32d,2,256,8192,4,77,196484203,196484343,132.517000000,132.407394409,34359738368,19.964984525,19.981511351
fp32d,2,1024,8192,0,22,196484500,196484640,147.696000000,147.486709595,137438953472,20.472165640,20.501216582
fp32d,2,1024,8192,1,22,196484640,196484796,147.336000000,146.942977905,137438953472,20.522187221,20.577077037
fp32d,2,1024,8192,2,22,196484796,196484937,147.533000000,147.260803223,137438953472,20.494784058,20.532666604
fp32d,2,1024,8192,3,22,196484937,196485093,147.725000000,147.517791748,137438953472,20.468146735,20.496896954
fp32d,2,1024,8192,4,22,196485093,196485234,147.517000000,147.150726318,137438953472,20.497006965,20.548026177
fp32d,4,64,8192,0,197,196485375,196485500,132.697000000,132.280761719,17179869184,25.504979233,25.585233902
fp32d,4,64,8192,1,197,196485500,196485640,133.033000000,132.732864380,17179869184,25.440561584,25.498087795
fp32d,4,64,8192,2,197,196485640,196485765,133.356000000,133.115188599,17179869184,25.378942299,25.424853955
