kind,accumulators,groups,iterations,sample,launches,start_tick,end_tick,wall_ms,event_ms,flops_per_launch,wall_tflops,event_tflops
fp8,1,64,2048,0,277,196262984,196263093,119.018000000,118.157295227,137438953472,319.872541227,322.202620148
fp8,1,64,2048,1,277,196263093,196263218,117.675000000,117.362014771,137438953472,323.523179195,324.385962410
fp8,1,64,2048,2,277,196263218,196263328,117.839000000,117.445159912,137438953472,323.072922477,324.156313808
fp8,1,64,2048,3,277,196263328,196263453,114.212000000,113.934333801,137438953472,333.332663045,334.145018815
fp8,1,64,2048,4,277,196263453,196263562,115.176000000,114.920013428,137438953472,330.542735568,331.279025961
fp8,1,256,2048,0,102,196263703,196263859,148.045000000,147.764770508,549755813888,378.770596890,379.488918934
fp8,1,256,2048,1,102,196263859,196264000,147.726000000,147.250732422,549755813888,379.588515336,380.813678101
fp8,1,256,2048,2,102,196264000,196264156,147.909000000,147.529602051,549755813888,379.118870499,380.093840403
fp8,1,256,2048,3,102,196264156,196264296,148.385000000,147.949996948,549755813888,377.902705911,379.013816649
fp8,1,256,2048,4,102,196264296,196264453,147.910000000,147.355804443,549755813888,379.116307326,380.542138998
fp8,1,1024,2048,0,27,196264609,196264765,153.181000000,152.987121582,2199023255552,387.604388925,388.095594491
fp8,1,1024,2048,1,27,196264765,196264921,153.152000000,152.777893066,2199023255552,387.677783509,388.627089353
fp8,1,1024,2048,2,27,196264921,196265062,153.322000000,153.046798706,2199023255552,387.247935064,387.944265427
fp8,1,1024,2048,3,27,196265062,196265218,153.519000000,153.198165894,2199023255552,386.751007367,387.560957754
fp8,1,1024,2048,4,27,196265218,196265375,153.295000000,152.965408325,2199023255552,387.316141426,388.150684197
fp8,2,64,2048,0,166,196265500,196265640,129.493000000,129.147842407,274877906944,352.372194271,353.313936201
fp8,2,64,2048,1,166,196265640,196265765,131.586000000,131.395050049,274877906944,346.767380669,347.271320615
fp8,2,64,2048,2,166,196265765,196265906,131.797000000,131.550796509,274877906944,346.212224502,346.860176933
fp8,2,64,2048,3,166,196265906,196266031,131.542000000,131.321182251,274877906944,346.883372251,347.466659762
fp8,2,64,2048,4,166,196266031,196266156,130.247000000,129.922119141,274877906944,350.332311322,351.208345850
fp8,2,256,2048,0,52,196266312,196266453,146.433000000,146.113677979,1099511627776,390.448905946,391.302206853
fp8,2,256,2048,1,52,196266453,196266609,146.392000000,146.148941040,1099511627776,390.558258951,391.207792800
fp8,2,256,2048,2,52,196266609,196266750,146.631000000,146.297409058,1099511627776,389.921671709,390.810780674
fp8,2,256,2048,3,52,196266750,196266890,146.354000000,146.150863647,1099511627776,390.659665225,391.202646481
fp8,2,256,2048,4,52,196266890,196267046,146.110000000,145.884780884,1099511627776,391.312056973,391.916170405
fp8,2,1024,2048,0,14,196267218,196267375,156.759000000,156.561111450,4398046511104,392.785429580,393.281898583
fp8,2,1024,2048,1,14,196267375,196267531,158.111000000,157.977691650,4398046511104,389.426739161,389.755354140
fp8,2,1024,2048,2,14,196267531,196267687,156.451000000,156.252609253,4398046511104,393.558693492,394.058386928
fp8,2,1024,2048,3,14,196267687,196267843,156.374000000,156.146362305,4398046511104,393.752485422,394.326516780
fp8,2,1024,2048,4,14,196267843,196268000,156.550000000,156.354156494,4398046511104,393.309812555,393.802458061
fp8,4,64,2048,0,94,196268140,196268281,140.779000000,140.550003052,549755813888,367.079227054,367.677306179
fp8,4,64,2048,1,94,196268281,196268421,138.394000000,138.119323730,549755813888,373.405252435,374.147839055
fp8,4,64,2048,2,94,196268421,196268562,137.685000000,137.447830200,549755813888,375.328078625,375.975716970
fp8,4,64,2048,3,94,196268562,196268687,138.519000000,138.194961548,549755813888,373.068290310,373.943057885
fp8,4,64,2048,4,94,196268687,196268843,141.242000000,140.914688110,549755813888,365.875918675,366.725762931
fp8,4,256,2048,0,28,196269000,196269156,154.876000000,154.573760986,2199023255552,397.560959448,398.338312807
fp8,4,256,2048,1,28,196269156,196269312,154.708000000,154.378005981,2199023255552,397.992677531,398.843415317
fp8,4,256,2048,2,28,196269312,196269453,155.081000000,154.870162964,2199023255552,397.035427650,397.575943468
fp8,4,256,2048,3,28,196269453,196269609,154.903000000,154.586898804,2199023255552,397.491663528,398.304459381
fp8,4,256,2048,4,28,196269609,196269765,154.711000000,154.464721680,2199023255552,397.984960058,398.619506680
fp8,4,1024,2048,0,7,196269953,196270109,154.134000000,153.917984009,8796093022208,399.474815131,400.035457533
fp8,4,1024,2048,1,7,196270109,196270265,156.134000000,155.958206177,8796093022208,394.357738580,394.802252891
fp8,4,1024,2048,2,7,196270265,196270421,158.774000000,158.570556641,8796093022208,387.800591756,388.298133398
fp8,4,1024,2048,3,7,196270421,196270578,153.628000000,153.473297119,8796093022208,400.790553515,401.194555087
fp8,4,1024,2048,4,7,196270578,196270734,157.983000000,157.785690308,8796093022208,389.742258062,390.229627512
fp8,8,64,2048,0,52,196270890,196271031,149.047000000,148.839584351,1099511627776,383.601177108,384.135745164
fp8,8,64,2048,1,52,196271031,196271187,151.354000000,151.123962402,1099511627776,377.754169988,378.329179142
fp8,8,64,2048,2,52,196271187,196271343,149.209000000,149.041473389,1099511627776,383.184691569,383.615401434
fp8,8,64,2048,3,52,196271343,196271484,151.289000000,151.139419556,1099511627776,377.916468774,378.290487104
fp8,8,64,2048,4,52,196271484,196271640,150.742000000,150.565124512,1099511627776,379.287820543,379.733386664
fp8,8,256,2048,0,14,196271796,196271953,152.059000000,151.844726562,4398046511104,404.926056040,405.497461449
fp8,8,256,2048,1,14,196271953,196272109,152.404000000,152.165115356,4398046511104,404.009416783,404.643672837
fp8,8,256,2048,2,14,196272109,196272265,152.625000000,152.354919434,4398046511104,403.424413795,404.139566903
fp8,8,256,2048,3,14,196272265,196272406,152.463000000,152.124771118,4398046511104,403.853073568,404.750986331
fp8,8,256,2048,4,14,196272406,196272562,152.570000000,152.343109131,4398046511104,403.569844370,404.170897566
fp8,8,1024,2048,0,4,196272796,196272968,181.270000000,181.067001343,17592186044416,388.198511489,388.633730364
fp8,8,1024,2048,1,4,196272968,196273156,182.235000000,182.077758789,17592186044416,386.142860470,386.476331023
fp8,8,1024,2048,2,4,196273156,196273343,184.646000000,184.472122192,17592186044416,381.100831741,381.460045786
fp8,8,1024,2048,3,4,196273343,196273515,181.851000000,181.595458984,17592186044416,386.958247014,387.502774415
fp8,8,1024,2048,4,4,196273515,196273703,181.906000000,181.658401489,17592186044416,386.841248654,387.368509250
fp8,16,64,2048,0,28,196273875,196274031,160.283000000,160.040405273,2199023255552,384.149605108,384.731912233
fp8,16,64,2048,1,28,196274031,196274187,159.530000000,159.355102539,2199023255552,385.962835551,386.386442445
fp8,16,64,2048,2,28,196274187,196274359,161.587000000,161.298309326,2199023255552,381.049534650,381.731534650
fp8,16,64,2048,3,28,196274359,196274515,162.660000000,162.471115112,2199023255552,378.535910214,378.975986672
fp8,16,64,2048,4,28,196274515,196274671,163.398000000,163.265594482,2199023255552,376.826222815,377.131822235
fp8,16,256,2048,0,7,196274859,196275015,159.794000000,159.516128540,8796093022208,385.325175886,385.996398728
fp8,16,256,2048,1,7,196275015,196275187,160.071000000,159.878753662,8796093022208,384.658377567,385.120910347
fp8,16,256,2048,2,7,196275187,196275343,157.864000000,157.697525024,8796093022208,390.036051002,390.447796476
