kind,repeat,target,slot,active,frames,ms,hits_per_frame,bitdiff
cand,0,1,0,0,200,15.018501500,0.000,0
cand,0,1,1,1,200,15.103002500,15.000,0
cand,0,1,2,1,200,15.120496500,15.000,0
cand,0,1,3,0,200,15.113663000,0.000,0
cand,1,1,0,0,200,15.121667500,0.000,0
cand,1,1,1,1,200,15.183269500,15.000,0
cand,1,1,2,1,200,15.189583500,15.000,0
cand,1,1,3,0,200,15.175420500,0.000,0
cand,2,1,0,0,200,15.182548500,0.000,0
cand,2,1,1,1,200,15.223538500,15.000,0
cand,2,1,2,1,200,15.235937500,15.000,0
cand,2,1,3,0,200,15.225804500,0.000,0
