kind,repeat,target,slot,active,frames,ms,hits_per_frame,bitdiff
cand,0,1,0,0,200,15.065057500,0.000,0
cand,0,1,1,1,200,15.262541500,15.000,0
cand,0,1,2,1,200,15.284448500,15.000,0
cand,0,1,3,0,200,15.155689500,0.000,0
cand,1,1,0,0,200,15.156199500,0.000,0
cand,1,1,1,1,200,15.357513500,15.000,0
cand,1,1,2,1,200,15.342344000,15.000,0
cand,1,1,3,0,200,15.223944000,0.000,0
cand,2,1,0,0,200,15.207718500,0.000,0
cand,2,1,1,1,200,15.376162000,15.000,0
cand,2,1,2,1,200,15.389444500,15.000,0
cand,2,1,3,0,200,15.228659500,0.000,0
