kind,repeat,target,slot,active,frames,ms,hits_per_frame,bitdiff
cand,0,6,0,0,200,10.836006500,0.000,0
cand,0,6,1,1,200,10.741978000,8.000,0
cand,0,6,2,1,200,10.738584500,8.000,0
cand,0,6,3,0,200,10.847198000,0.000,0
cand,0,11,0,0,200,10.860157000,0.000,0
cand,0,11,1,1,200,10.810307000,8.000,0
cand,0,11,2,1,200,10.817970000,8.000,0
cand,0,11,3,0,200,10.848394000,0.000,0
cand,1,6,0,0,200,10.846354500,0.000,0
cand,1,6,1,1,200,10.736837500,8.000,0
cand,1,6,2,1,200,10.744784000,8.000,0
cand,1,6,3,0,200,10.834935500,0.000,0
cand,1,11,0,0,200,10.868902500,0.000,0
cand,1,11,1,1,200,10.820071500,8.000,0
cand,1,11,2,1,200,10.813981000,8.000,0
cand,1,11,3,0,200,10.856589500,0.000,0
cand,2,6,0,0,200,10.851459500,0.000,0
cand,2,6,1,1,200,10.757062000,8.000,0
cand,2,6,2,1,200,10.749548000,8.000,0
cand,2,6,3,0,200,10.855736500,0.000,0
cand,2,11,0,0,200,10.869533000,0.000,0
cand,2,11,1,1,200,10.824907000,8.000,0
cand,2,11,2,1,200,10.806970500,8.000,0
cand,2,11,3,0,200,10.856357500,0.000,0
