kind,repeat,target,slot,active,frames,ms,hits_per_frame,bitdiff
dup,0,'mh_ffn_fused_c256,0,0,150,15.016178667,0.000,0
dup,0,'mh_ffn_fused_c256,1,1,150,15.057028000,0.000,0
dup,0,'mh_ffn_fused_c256,2,1,150,15.083258667,0.000,0
dup,0,'mh_ffn_fused_c256,3,0,150,15.099775333,0.000,0
dup,0,vit_expand_blocked_fp8_frag_bytein$,0,0,150,15.105950000,0.000,0
dup,0,vit_expand_blocked_fp8_frag_bytein$,1,1,150,15.413344000,8.000,0
dup,0,vit_expand_blocked_fp8_frag_bytein$,2,1,150,15.410478667,8.000,0
dup,0,vit_expand_blocked_fp8_frag_bytein$,3,0,150,15.135712000,0.000,0
dup,0,vit_contract_blocked_fp8_frag$,0,0,150,15.152030667,0.000,0
dup,0,vit_contract_blocked_fp8_frag$,1,1,150,15.431265333,8.000,0
dup,0,vit_contract_blocked_fp8_frag$,2,1,150,15.430486667,8.000,0
dup,0,vit_contract_blocked_fp8_frag$,3,0,150,15.176454667,0.000,0
dup,0,vit_qkv_project_normalize_fused_f16compact_fp8_frag$,0,0,150,15.188322000,0.000,0
dup,0,vit_qkv_project_normalize_fused_f16compact_fp8_frag$,1,1,150,15.721848000,8.000,0
dup,0,vit_qkv_project_normalize_fused_f16compact_fp8_frag$,2,1,150,15.747399333,8.000,0
dup,0,vit_qkv_project_normalize_fused_f16compact_fp8_frag$,3,0,150,15.176564000,0.000,0
dup,0,vit_project_frag$,0,0,150,15.199938667,0.000,0
dup,0,vit_project_frag$,1,1,150,15.611292667,8.000,0
dup,0,vit_project_frag$,2,1,150,15.622160667,8.000,0
dup,0,vit_project_frag$,3,0,150,15.233760000,0.000,0
dup,0,vit_attention_fused,0,0,150,15.190254667,0.000,0
dup,0,vit_attention_fused,1,1,150,15.756905333,8.000,0
dup,0,vit_attention_fused,2,1,150,15.795490000,8.000,0
dup,0,vit_attention_fused,3,0,150,15.245366000,0.000,0
