frame,reset,wall_ms,invalid,rgb_min,rgb_max,luma_mean,roi_luma_mean,dark_pixels,roi_dark_pixels,changed_half_values_from_first,maxabs_from_first,checked
0,1,1354.572000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
1,1,21.093000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
2,1,20.298000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
3,1,20.128000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
4,1,20.619000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
5,1,20.225000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
6,1,20.121000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
7,1,20.353000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
8,1,20.159000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
9,1,20.345000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
10,1,22.457000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
11,1,20.502000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
