frame,reset,wall_ms,invalid,rgb_min,rgb_max,luma_mean,roi_luma_mean,dark_pixels,roi_dark_pixels,changed_half_values_from_first,maxabs_from_first,checked
0,1,1351.169000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
1,1,15.258000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
2,1,21.490000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
3,1,14.975000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
4,1,19.465000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
5,1,14.916000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
6,1,17.947000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
7,1,25.676000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
8,1,15.189000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
9,1,18.332000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
10,1,18.851000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
11,1,15.244000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
