test,slot,mode,frames,wall_ms,bitdiff,calls,perframe,start_ms,end_ms
1,0,0,160,16.949100000,0,0,218,333720515,333723218
1,1,1,160,17.086700000,0,34880,218,333723750,333726484
1,2,1,160,17.100568750,0,34880,218,333727015,333729750
1,3,0,160,17.058318750,0,0,218,333730265,333733000
1,4,0,160,17.047725000,0,0,218,333733531,333736250
1,5,1,160,17.169368750,0,34880,218,333736781,333739531
1,6,1,160,17.180062500,0,34880,218,333740046,333742796
1,7,0,160,17.113843750,0,0,218,333743328,333746062
2,0,0,160,17.115306250,0,0,218,333746593,333749328
2,1,2,160,17.253256250,0,34880,218,333749859,333752625
2,2,2,160,17.257900000,0,34880,218,333753140,333755906
2,3,0,160,17.179568750,0,0,218,333756437,333759187
2,4,0,160,17.141018750,0,0,218,333759718,333762453
2,5,2,160,17.270325000,0,34880,218,333762984,333765750
2,6,2,160,17.279293750,0,34880,218,333766281,333769046
2,7,0,160,17.160268750,0,0,218,333769578,333772312
3,0,0,160,17.174931250,0,0,218,333772843,333775593
3,1,3,160,17.272800000,0,34880,218,333776125,333778890
3,2,3,160,17.273356250,0,34880,218,333779421,333782187
3,3,0,160,17.182868750,0,0,218,333782703,333785453
3,4,0,160,17.247825000,0,0,218,333785984,333788750
3,5,3,160,17.219500000,0,34880,218,333789281,333792031
3,6,3,160,17.264612500,0,34880,218,333792562,333795328
3,7,0,160,17.156762500,0,0,218,333795859,333798593
