test,slot,mode,frames,wall_ms,bitdiff,calls,perframe,start_ms,end_ms
1,0,0,160,17.004562500,0,0,218,303116687,303119421
1,1,1,160,16.837687500,0,34880,218,303119937,303122625
1,2,1,160,16.873518750,0,34880,218,303123140,303125828
1,3,0,160,17.070675000,0,0,218,303126343,303129078
1,4,0,160,17.081675000,0,0,218,303129593,303132328
1,5,1,160,16.906187500,0,34880,218,303132843,303135546
1,6,1,160,16.922281250,0,34880,218,303136062,303138765
1,7,0,160,17.116937500,0,0,218,303139281,303142031
2,0,0,160,17.135900000,0,0,218,303142546,303145281
2,1,2,160,16.977693750,0,34880,218,303145796,303148515
2,2,2,160,16.989412500,0,34880,218,303149031,303151750
2,3,0,160,17.154087500,0,0,218,303152265,303155015
2,4,0,160,17.160862500,0,0,218,303155531,303158281
2,5,2,160,17.001781250,0,34880,218,303158796,303161515
2,6,2,160,17.010575000,0,34880,218,303162031,303164750
2,7,0,160,17.188393750,0,0,218,303165265,303168015
3,0,0,160,17.168575000,0,0,218,303168531,303171281
3,1,3,160,17.015550000,0,34880,218,303171796,303174531
3,2,3,160,17.021450000,0,34880,218,303175046,303177765
3,3,0,160,17.193831250,0,0,218,303178281,303181031
3,4,0,160,17.196337500,0,0,218,303181546,303184296
3,5,3,160,17.044468750,0,34880,218,303184828,303187546
3,6,3,160,17.044250000,0,34880,218,303188062,303190796
3,7,0,160,17.201487500,0,0,218,303191312,303194062
