test,slot,mode,frames,wall_ms,bitdiff,calls,perframe,start_ms,end_ms
1,0,0,160,16.842987500,0,0,218,303577156,303579843
1,1,1,160,16.884043750,0,34880,218,303580359,303583062
1,2,1,160,16.918593750,0,34880,218,303583578,303586281
1,3,0,160,16.947506250,0,0,218,303586796,303589500
1,4,0,160,16.961068750,0,0,218,303590015,303592734
1,5,1,160,16.936875000,0,34880,218,303593250,303595953
1,6,1,160,16.958587500,0,34880,218,303596468,303599187
1,7,0,160,17.001806250,0,0,218,303599703,303602421
2,0,0,160,17.000712500,0,0,218,303602937,303605656
2,1,2,160,17.009856250,0,34880,218,303606171,303608906
2,2,2,160,17.006493750,0,34880,218,303609421,303612140
2,3,0,160,17.039493750,0,0,218,303612656,303615390
2,4,0,160,17.046237500,0,0,218,303615906,303618625
2,5,2,160,17.071981250,0,34880,218,303619140,303621875
2,6,2,160,17.070781250,0,34880,218,303622406,303625125
2,7,0,160,17.041993750,0,0,218,303625656,303628375
3,0,0,160,17.078750000,0,0,218,303628890,303631625
3,1,3,160,17.053918750,0,34880,218,303632140,303634875
3,2,3,160,17.073118750,0,34880,218,303635390,303638125
3,3,0,160,17.057168750,0,0,218,303638640,303641375
3,4,0,160,17.062037500,0,0,218,303641890,303644625
3,5,3,160,17.068025000,0,34880,218,303645140,303647875
3,6,3,160,17.102243750,0,34880,218,303648390,303651125
3,7,0,160,17.078531250,0,0,218,303651656,303654390
