test,slot,mode,frames,wall_ms,bitdiff,calls,perframe,start_ms,end_ms
1,0,0,160,12.204787500,0,0,218,334720406,334722359
1,1,1,160,12.284400000,0,34880,218,334722734,334724703
1,2,1,160,12.270300000,0,34880,218,334725078,334727031
1,3,0,160,12.210318750,0,0,218,334727421,334729375
1,4,0,160,12.216212500,0,0,218,334729750,334731703
1,5,1,160,12.259818750,0,34880,218,334732078,334734031
1,6,1,160,12.258593750,0,34880,218,334734406,334736375
1,7,0,160,12.196425000,0,0,218,334736750,334738703
2,0,0,160,12.214162500,0,0,218,334739078,334741031
2,1,2,160,12.320575000,0,34880,218,334741406,334743375
2,2,2,160,12.303625000,0,34880,218,334743750,334745718
2,3,0,160,12.214481250,0,0,218,334746093,334748046
2,4,0,160,12.207431250,0,0,218,334748421,334750375
2,5,2,160,12.326500000,0,34880,218,334750750,334752718
2,6,2,160,12.325987500,0,34880,218,334753109,334755078
2,7,0,160,12.220250000,0,0,218,334755453,334757406
3,0,0,160,12.229543750,0,0,218,334757781,334759734
3,1,3,160,12.270187500,0,34880,218,334760109,334762078
3,2,3,160,12.263318750,0,34880,218,334762453,334764421
3,3,0,160,12.224600000,0,0,218,334764796,334766750
3,4,0,160,12.212031250,0,0,218,334767125,334769078
3,5,3,160,12.271400000,0,34880,218,334769453,334771421
3,6,3,160,12.284300000,0,34880,218,334771796,334773765
3,7,0,160,12.224806250,0,0,218,334774140,334776093
