test,slot,mode,frames,wall_ms,bitdiff,calls,perframe,start_ms,end_ms
1,0,0,160,16.906675000,0,0,218,324634703,324637406
1,1,1,160,16.907618750,0,34880,218,324637921,324640625
1,2,1,160,16.913025000,0,34880,218,324641140,324643843
1,3,0,160,16.958400000,0,0,218,324644359,324647078
1,4,0,160,16.996518750,0,0,218,324647593,324650312
1,5,1,160,16.986606250,0,34880,218,324650828,324653546
1,6,1,160,16.991450000,0,34880,218,324654062,324656781
1,7,0,160,17.030531250,0,0,218,324657296,324660015
2,0,0,160,17.012850000,0,0,218,324660531,324663265
2,1,2,160,17.033418750,0,34880,218,324663781,324666500
2,2,2,160,17.028300000,0,34880,218,324667015,324669750
2,3,0,160,17.051056250,0,0,218,324670265,324672984
2,4,0,160,17.076125000,0,0,218,324673515,324676250
2,5,2,160,17.074406250,0,34880,218,324676765,324679500
2,6,2,160,17.075200000,0,34880,218,324680015,324682750
2,7,0,160,17.083050000,0,0,218,324683265,324686000
3,0,0,160,17.097356250,0,0,218,324686515,324689250
3,1,3,160,17.076193750,0,34880,218,324689781,324692500
3,2,3,160,17.058737500,0,34880,218,324693031,324695750
3,3,0,160,17.082900000,0,0,218,324696281,324699015
3,4,0,160,17.081568750,0,0,218,324699531,324702265
3,5,3,160,17.104318750,0,34880,218,324702781,324705515
3,6,3,160,17.124825000,0,34880,218,324706031,324708781
3,7,0,160,17.097681250,0,0,218,324709296,324712031
