test,slot,mode,frames,wall_ms,bitdiff,calls,perframe,start_ms,end_ms
1,0,0,160,12.142393750,0,0,218,333597500,333599453
1,1,1,160,12.084206250,4463981,34880,218,333599828,333601750
1,2,1,160,12.087875000,4463981,34880,218,333602125,333604062
1,3,0,160,12.167093750,0,0,218,333604421,333606375
1,4,0,160,12.159843750,0,0,218,333606750,333608687
1,5,1,160,12.071012500,4463981,34880,218,333609062,333610984
1,6,1,160,12.090475000,4463981,34880,218,333611359,333613296
1,7,0,160,12.247312500,0,0,218,333613671,333615625
2,0,0,160,12.209843750,0,0,218,333616000,333617953
2,1,2,160,12.025275000,4440564,34880,218,333618328,333620250
2,2,2,160,12.011993750,4440564,34880,218,333620609,333622531
2,3,0,160,12.230037500,0,0,218,333622906,333624859
2,4,0,160,12.222306250,0,0,218,333625234,333627187
2,5,2,160,12.001468750,4440564,34880,218,333627562,333629484
2,6,2,160,11.997568750,4440564,34880,218,333629843,333631765
2,7,0,160,12.215050000,0,0,218,333632140,333634093
3,0,0,160,12.207393750,0,0,218,333634468,333636421
3,1,3,160,12.083525000,3953715,34880,218,333636796,333638718
3,2,3,160,12.076081250,3952272,34880,218,333639093,333641031
3,3,0,160,12.212993750,0,0,218,333641390,333643343
3,4,0,160,12.208950000,0,0,218,333643718,333645671
3,5,3,160,12.050868750,3953715,34880,218,333646031,333647968
3,6,3,160,12.061650000,3952272,34880,218,333648328,333650265
3,7,0,160,12.192193750,0,0,218,333650640,333652593
