test,slot,mode,frames,wall_ms,bitdiff,calls,perframe,start_ms,end_ms
1,0,0,160,16.941737500,0,0,218,334451687,334454406
1,1,1,160,16.438612500,6475134,34880,218,334454906,334457531
1,2,1,160,16.470162500,6475134,34880,218,334458031,334460671
1,3,0,160,16.999225000,0,0,218,334461171,334463906
1,4,0,160,17.024712500,0,0,218,334464406,334467125
1,5,1,160,16.479293750,6475134,34880,218,334467625,334470265
1,6,1,160,16.487981250,6475134,34880,218,334470781,334473406
1,7,0,160,17.057700000,0,0,218,334473921,334476640
2,0,0,160,17.063043750,0,0,218,334477156,334479875
2,1,2,160,16.641225000,6535753,34880,218,334480390,334483046
2,2,2,160,16.648050000,6535753,34880,218,334483562,334486218
2,3,0,160,17.065206250,0,0,218,334486734,334489468
2,4,0,160,17.097406250,0,0,218,334489968,334492703
2,5,2,160,16.704225000,6535753,34880,218,334493218,334495890
2,6,2,160,16.754587500,6535753,34880,218,334496406,334499093
2,7,0,160,17.183818750,0,0,218,334499593,334502343
3,0,0,160,17.191181250,0,0,218,334502859,334505609
3,1,3,160,16.667275000,6475134,34880,218,334506125,334508781
3,2,3,160,16.665493750,6475134,34880,218,334509296,334511968
3,3,0,160,17.212868750,0,0,218,334512468,334515234
3,4,0,160,17.224337500,0,0,218,334515734,334518500
3,5,3,160,16.669975000,6475134,34880,218,334519000,334521671
3,6,3,160,16.686168750,6475134,34880,218,334522187,334524859
3,7,0,160,17.246093750,0,0,218,334525375,334528125
