test,slot,mode,frames,wall_ms,bitdiff,calls,perframe,start_ms,end_ms
1,0,0,160,12.183487500,0,0,218,334142421,334144375
1,1,1,160,12.009700000,0,34880,218,334144734,334146656
1,2,1,160,12.005593750,0,34880,218,334147031,334148953
1,3,0,160,12.265562500,0,0,218,334149312,334151281
1,4,0,160,12.246018750,0,0,218,334151656,334153609
1,5,1,160,12.016150000,0,34880,218,334153984,334155906
1,6,1,160,12.028856250,0,34880,218,334156265,334158187
1,7,0,160,12.247650000,0,0,218,334158562,334160515
2,0,0,160,12.231006250,0,0,218,334160890,334162843
2,1,2,160,12.019218750,0,34880,218,334163218,334165140
2,2,2,160,12.025981250,0,34880,218,334165500,334167437
2,3,0,160,12.213443750,0,0,218,334167796,334169750
2,4,0,160,12.211881250,0,0,218,334170125,334172078
2,5,2,160,12.010681250,0,34880,218,334172437,334174359
2,6,2,160,12.016968750,0,34880,218,334174734,334176656
2,7,0,160,12.221812500,0,0,218,334177031,334178984
3,0,0,160,12.219706250,0,0,218,334179343,334181312
3,1,3,160,11.995375000,0,34880,218,334181671,334183593
3,2,3,160,12.010812500,0,34880,218,334183953,334185875
3,3,0,160,12.225562500,0,0,218,334186250,334188203
3,4,0,160,12.221306250,0,0,218,334188578,334190531
3,5,3,160,12.022712500,0,34880,218,334190890,334192812
3,6,3,160,12.012568750,0,34880,218,334193187,334195109
3,7,0,160,12.222093750,0,0,218,334195484,334197437
