test,slot,mode,frames,wall_ms,bitdiff,calls,perframe,start_ms,end_ms
1,0,0,160,16.906900000,0,0,218,327407046,327409750
1,1,1,160,16.988100000,0,34880,218,327410281,327413000
1,2,1,160,17.006012500,0,34880,218,327413515,327416234
1,3,0,160,16.968137500,0,0,218,327416750,327419468
1,4,0,160,17.006368750,0,0,218,327419984,327422703
1,5,1,160,17.051643750,0,34880,218,327423218,327425953
1,6,1,160,17.081475000,0,34880,218,327426468,327429203
1,7,0,160,17.023868750,0,0,218,327429718,327432453
2,0,0,160,17.043612500,0,0,218,327432968,327435687
2,1,2,160,17.086350000,0,34880,218,327436218,327438953
2,2,2,160,17.122025000,0,34880,218,327439468,327442203
2,3,0,160,17.075825000,0,0,218,327442734,327445468
2,4,0,160,17.082781250,0,0,218,327445984,327448718
2,5,2,160,17.180381250,0,34880,218,327449234,327451984
2,6,2,160,17.141025000,0,34880,218,327452515,327455250
2,7,0,160,17.085125000,0,0,218,327455781,327458515
3,0,0,160,17.116968750,0,0,218,327459031,327461765
3,1,3,160,17.174406250,0,34880,218,327462296,327465046
3,2,3,160,17.166668750,0,34880,218,327465562,327468312
3,3,0,160,17.123350000,0,0,218,327468828,327471578
3,4,0,160,17.098737500,0,0,218,327472093,327474828
3,5,3,160,17.149925000,0,34880,218,327475359,327478093
3,6,3,160,17.193393750,0,34880,218,327478625,327481375
3,7,0,160,17.119162500,0,0,218,327481906,327484640
