test,slot,mode,frames,wall_ms,bitdiff,calls,perframe,start_ms,end_ms
1,0,0,160,16.985968750,0,0,218,334816828,334819546
1,1,1,160,16.550468750,5853428,34880,218,334820062,334822703
1,2,1,160,16.598375000,5853428,34880,218,334823218,334825875
1,3,0,160,17.068462500,0,0,218,334826375,334829109
1,4,0,160,17.092043750,0,0,218,334829625,334832359
1,5,1,160,16.636212500,5853428,34880,218,334832859,334835531
1,6,1,160,16.649768750,5853428,34880,218,334836031,334838703
1,7,0,160,17.127287500,0,0,218,334839203,334841953
2,0,0,160,17.123850000,0,0,218,334842453,334845203
2,1,2,160,16.665368750,5853428,34880,218,334845703,334848375
2,2,2,160,16.692000000,5853428,34880,218,334848890,334851562
2,3,0,160,17.158368750,0,0,218,334852078,334854812
2,4,0,160,17.168668750,0,0,218,334855328,334858078
2,5,2,160,16.705500000,5853428,34880,218,334858593,334861265
2,6,2,160,16.699156250,5853428,34880,218,334861765,334864437
2,7,0,160,17.178568750,0,0,218,334864953,334867703
3,0,0,160,17.195768750,0,0,218,334868218,334870968
3,1,3,160,16.726637500,5853428,34880,218,334871484,334874156
3,2,3,160,16.737231250,5853428,34880,218,334874671,334877343
3,3,0,160,17.219525000,0,0,218,334877859,334880625
3,4,0,160,17.223043750,0,0,218,334881140,334883890
3,5,3,160,16.751456250,5853428,34880,218,334884406,334887078
3,6,3,160,16.821587500,5853428,34880,218,334887593,334890296
3,7,0,160,17.202306250,0,0,218,334890812,334893562
