test,slot,mode,frames,wall_ms,bitdiff,calls,perframe,start_ms,end_ms
1,0,0,160,17.436943750,0,0,218,325198750,325201531
1,1,1,160,16.883206250,0,34880,218,325202046,325204750
1,2,1,160,16.912718750,0,34880,218,325205265,325207968
1,3,0,160,16.976568750,0,0,218,325208484,325211203
1,4,0,160,16.980581250,0,0,218,325211718,325214437
1,5,1,160,16.962568750,0,34880,218,325214953,325217656
1,6,1,160,16.964043750,0,34880,218,325218171,325220890
1,7,0,160,17.024981250,0,0,218,325221406,325224140
2,0,0,160,17.017381250,0,0,218,325224656,325227375
2,1,2,160,16.984631250,0,34880,218,325227890,325230609
2,2,2,160,16.999787500,0,34880,218,325231125,325233843
2,3,0,160,17.033125000,0,0,218,325234359,325237093
2,4,0,160,17.052312500,0,0,218,325237609,325240328
2,5,2,160,17.013650000,0,34880,218,325240859,325243578
2,6,2,160,17.017531250,0,34880,218,325244093,325246812
2,7,0,160,17.055768750,0,0,218,325247328,325250062
3,0,0,160,17.077106250,0,0,218,325250578,325253312
3,1,3,160,17.049743750,0,34880,218,325253828,325256562
3,2,3,160,17.048831250,0,34880,218,325257078,325259812
3,3,0,160,17.095518750,0,0,218,325260328,325263062
3,4,0,160,17.107337500,0,0,218,325263578,325266312
3,5,3,160,17.068637500,0,34880,218,325266843,325269562
3,6,3,160,17.082406250,0,34880,218,325270093,325272828
3,7,0,160,17.087850000,0,0,218,325273343,325276078
