variant,slot,mode,frames,mean_ms,bitdiff,replacements,start_ms,end_ms
1,0,0,100,18.324590000,0,0,208440609,208442453
1,1,1,100,18.114730000,0,800,208443171,208444984
1,2,1,100,18.137940000,0,800,208445718,208447531
1,3,0,100,18.358460000,0,0,208448281,208450109
2,0,0,100,18.332920000,0,0,208450859,208452687
2,1,2,100,18.277710000,0,800,208453421,208455250
2,2,2,100,18.296030000,0,800,208455984,208457812
2,3,0,100,18.359230000,0,0,208458562,208460390
4,0,0,100,18.368970000,0,0,208461140,208462984
4,1,4,100,18.345990000,0,500,208463718,208465546
4,2,4,100,18.315500000,0,500,208466296,208468125
4,3,0,100,18.382150000,0,0,208468859,208470703
8,0,0,100,18.376750000,0,0,208471453,208473281
8,1,8,100,18.403320000,0,200,208474031,208475875
8,2,8,100,18.405390000,0,200,208476609,208478453
8,3,0,100,18.404780000,0,0,208479203,208481046
16,0,0,100,18.401210000,0,0,208481781,208483625
16,1,16,100,18.396620000,0,1300,208484375,208486203
16,2,16,100,18.380860000,0,1300,208486953,208488796
16,3,0,100,18.408500000,0,0,208489531,208491375
32,0,0,100,18.400230000,0,0,208492125,208493953
32,1,32,100,18.370270000,0,1400,208494703,208496546
32,2,32,100,18.389390000,0,1400,208497281,208499125
32,3,0,100,18.412840000,0,0,208499875,208501703
64,0,0,100,18.425470000,0,0,208502453,208504296
64,1,64,100,18.416590000,0,800,208505031,208506875
64,2,64,100,18.407550000,0,800,208507625,208509468
64,3,0,100,18.428780000,0,0,208510203,208512046
128,0,0,100,18.428460000,0,0,208512796,208514640
128,1,128,100,18.354720000,0,800,208515375,208517218
128,2,128,100,18.386090000,0,800,208517953,208519796
128,3,0,100,18.422840000,0,0,208520546,208522390
