frame,reset,wall_ms,invalid,rgb_min,rgb_max,luma_mean,roi_luma_mean,dark_pixels,roi_dark_pixels,changed_half_values_from_first,maxabs_from_first,checked
0,1,1364.903000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
1,1,20.551000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
2,1,20.470000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
3,1,20.194000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
4,1,20.143000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
5,1,20.369000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
6,1,24.971000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
7,1,20.489000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
8,1,20.176000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
9,1,20.376000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
10,1,20.265000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
11,1,20.274000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
