frame,reset,wall_ms,invalid,rgb_min,rgb_max,luma_mean,roi_luma_mean,dark_pixels,roi_dark_pixels,changed_half_values_from_first,maxabs_from_first,checked
0,1,1359.636000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
1,1,25.760000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
2,1,20.202000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
3,1,23.742000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
4,1,21.015000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
5,1,22.378000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
6,1,26.557000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
7,1,20.067000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
8,1,20.373000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
9,1,20.188000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
10,1,20.207000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
11,1,22.806000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
