frame,reset,wall_ms,invalid,rgb_min,rgb_max,luma_mean,roi_luma_mean,dark_pixels,roi_dark_pixels,changed_half_values_from_first,maxabs_from_first,checked
0,1,1369.695000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
1,1,20.157000,,,,,,,,,,0
2,1,19.012000,,,,,,,,,,0
3,1,18.212000,,,,,,,,,,0
4,1,18.339000,,,,,,,,,,0
5,1,18.402000,,,,,,,,,,0
6,1,18.194000,,,,,,,,,,0
7,1,18.134000,,,,,,,,,,0
8,1,18.471000,,,,,,,,,,0
9,1,18.252000,,,,,,,,,,0
10,1,18.572000,,,,,,,,,,0
11,1,18.374000,,,,,,,,,,0
12,1,18.160000,,,,,,,,,,0
13,1,18.579000,,,,,,,,,,0
14,1,18.197000,,,,,,,,,,0
15,1,18.632000,,,,,,,,,,0
16,1,18.173000,,,,,,,,,,0
17,1,18.186000,,,,,,,,,,0
18,1,18.287000,,,,,,,,,,0
19,1,18.312000,,,,,,,,,,0
20,1,18.613000,,,,,,,,,,0
21,1,18.095000,,,,,,,,,,0
22,1,18.138000,,,,,,,,,,0
23,1,18.262000,,,,,,,,,,0
24,1,18.102000,,,,,,,,,,0
25,1,18.015000,,,,,,,,,,0
26,1,18.103000,,,,,,,,,,0
27,1,18.324000,,,,,,,,,,0
28,1,18.115000,,,,,,,,,,0
29,1,18.330000,,,,,,,,,,0
30,1,18.191000,,,,,,,,,,0
31,1,18.270000,,,,,,,,,,0
32,1,18.219000,,,,,,,,,,0
33,1,18.267000,,,,,,,,,,0
34,1,18.261000,,,,,,,,,,0
35,1,18.292000,,,,,,,,,,0
36,1,18.389000,,,,,,,,,,0
37,1,18.137000,,,,,,,,,,0
38,1,18.203000,,,,,,,,,,0
39,1,18.405000,,,,,,,,,,0
40,1,18.253000,,,,,,,,,,0
41,1,18.122000,,,,,,,,,,0
42,1,18.372000,,,,,,,,,,0
43,1,18.350000,,,,,,,,,,0
44,1,18.236000,,,,,,,,,,0
45,1,18.118000,,,,,,,,,,0
46,1,18.230000,,,,,,,,,,0
47,1,18.308000,,,,,,,,,,0
48,1,18.263000,,,,,,,,,,0
49,1,18.180000,,,,,,,,,,0
50,1,18.260000,,,,,,,,,,0
51,1,18.305000,,,,,,,,,,0
52,1,18.590000,,,,,,,,,,0
53,1,18.377000,,,,,,,,,,0
54,1,18.148000,,,,,,,,,,0
55,1,18.192000,,,,,,,,,,0
56,1,18.291000,,,,,,,,,,0
57,1,18.311000,,,,,,,,,,0
58,1,18.256000,,,,,,,,,,0
59,1,18.562000,,,,,,,,,,0
60,1,18.407000,,,,,,,,,,0
61,1,18.231000,,,,,,,,,,0
62,1,18.468000,,,,,,,,,,0
63,1,18.269000,,,,,,,,,,0
64,1,18.451000,,,,,,,,,,0
65,1,18.552000,,,,,,,,,,0
66,1,18.234000,,,,,,,,,,0
67,1,18.149000,,,,,,,,,,0
68,1,18.236000,,,,,,,,,,0
69,1,18.374000,,,,,,,,,,0
70,1,18.335000,,,,,,,,,,0
71,1,18.471000,,,,,,,,,,0
72,1,18.131000,,,,,,,,,,0
73,1,18.308000,,,,,,,,,,0
74,1,18.395000,,,,,,,,,,0
75,1,18.319000,,,,,,,,,,0
76,1,18.261000,,,,,,,,,,0
77,1,18.434000,,,,,,,,,,0
78,1,18.409000,,,,,,,,,,0
79,1,18.267000,,,,,,,,,,0
80,1,18.253000,,,,,,,,,,0
81,1,18.279000,,,,,,,,,,0
82,1,18.279000,,,,,,,,,,0
83,1,18.682000,,,,,,,,,,0
84,1,18.275000,,,,,,,,,,0
85,1,18.529000,,,,,,,,,,0
86,1,18.228000,,,,,,,,,,0
87,1,18.357000,,,,,,,,,,0
88,1,18.217000,,,,,,,,,,0
89,1,18.117000,,,,,,,,,,0
90,1,18.274000,,,,,,,,,,0
91,1,18.383000,,,,,,,,,,0
92,1,18.285000,,,,,,,,,,0
93,1,18.234000,,,,,,,,,,0
94,1,18.462000,,,,,,,,,,0
95,1,18.254000,,,,,,,,,,0
96,1,18.262000,,,,,,,,,,0
97,1,18.285000,,,,,,,,,,0
98,1,18.456000,,,,,,,,,,0
99,1,18.162000,,,,,,,,,,0
100,1,18.039000,,,,,,,,,,0
101,1,18.385000,,,,,,,,,,0
102,1,18.202000,,,,,,,,,,0
103,1,18.231000,,,,,,,,,,0
104,1,18.151000,,,,,,,,,,0
105,1,18.343000,,,,,,,,,,0
106,1,18.499000,,,,,,,,,,0
107,1,18.300000,,,,,,,,,,0
108,1,18.265000,,,,,,,,,,0
109,1,18.420000,,,,,,,,,,0
110,1,18.167000,,,,,,,,,,0
111,1,18.251000,,,,,,,,,,0
112,1,18.271000,,,,,,,,,,0
113,1,18.275000,,,,,,,,,,0
114,1,18.174000,,,,,,,,,,0
115,1,18.187000,,,,,,,,,,0
116,1,18.496000,,,,,,,,,,0
117,1,18.160000,,,,,,,,,,0
118,1,18.429000,,,,,,,,,,0
119,1,18.182000,,,,,,,,,,0
120,1,18.278000,,,,,,,,,,0
121,1,18.189000,,,,,,,,,,0
122,1,18.592000,,,,,,,,,,0
123,1,18.194000,,,,,,,,,,0
124,1,18.270000,,,,,,,,,,0
125,1,18.443000,,,,,,,,,,0
126,1,18.275000,,,,,,,,,,0
127,1,18.233000,,,,,,,,,,0
128,1,18.312000,,,,,,,,,,0
129,1,18.480000,,,,,,,,,,0
130,1,18.315000,,,,,,,,,,0
131,1,18.151000,,,,,,,,,,0
132,1,18.121000,,,,,,,,,,0
133,1,18.456000,,,,,,,,,,0
134,1,18.338000,,,,,,,,,,0
135,1,18.242000,,,,,,,,,,0
136,1,18.363000,,,,,,,,,,0
137,1,18.168000,,,,,,,,,,0
138,1,18.120000,,,,,,,,,,0
139,1,18.525000,,,,,,,,,,0
140,1,18.269000,,,,,,,,,,0
141,1,18.266000,,,,,,,,,,0
142,1,18.404000,,,,,,,,,,0
143,1,18.388000,,,,,,,,,,0
144,1,18.270000,,,,,,,,,,0
145,1,18.355000,,,,,,,,,,0
146,1,18.324000,,,,,,,,,,0
147,1,18.199000,,,,,,,,,,0
148,1,18.269000,,,,,,,,,,0
149,1,18.269000,,,,,,,,,,0
150,1,18.266000,,,,,,,,,,0
151,1,18.256000,,,,,,,,,,0
152,1,18.277000,,,,,,,,,,0
153,1,18.261000,,,,,,,,,,0
154,1,18.236000,,,,,,,,,,0
155,1,18.074000,,,,,,,,,,0
156,1,18.550000,,,,,,,,,,0
157,1,18.387000,,,,,,,,,,0
158,1,18.127000,,,,,,,,,,0
159,1,18.261000,,,,,,,,,,0
160,1,18.392000,,,,,,,,,,0
161,1,18.383000,,,,,,,,,,0
162,1,18.187000,,,,,,,,,,0
163,1,18.132000,,,,,,,,,,0
164,1,18.176000,,,,,,,,,,0
165,1,18.123000,,,,,,,,,,0
166,1,18.343000,,,,,,,,,,0
167,1,18.423000,,,,,,,,,,0
168,1,18.345000,,,,,,,,,,0
169,1,18.199000,,,,,,,,,,0
170,1,18.245000,,,,,,,,,,0
171,1,18.168000,,,,,,,,,,0
172,1,18.450000,,,,,,,,,,0
173,1,18.281000,,,,,,,,,,0
174,1,18.207000,,,,,,,,,,0
175,1,18.115000,,,,,,,,,,0
176,1,18.180000,,,,,,,,,,0
177,1,18.266000,,,,,,,,,,0
178,1,18.174000,,,,,,,,,,0
179,1,18.279000,,,,,,,,,,0
180,1,18.452000,,,,,,,,,,0
181,1,18.319000,,,,,,,,,,0
182,1,18.227000,,,,,,,,,,0
183,1,18.420000,,,,,,,,,,0
184,1,18.322000,,,,,,,,,,0
185,1,18.339000,,,,,,,,,,0
186,1,18.242000,,,,,,,,,,0
187,1,18.212000,,,,,,,,,,0
188,1,18.172000,,,,,,,,,,0
189,1,18.373000,,,,,,,,,,0
190,1,18.215000,,,,,,,,,,0
191,1,18.315000,,,,,,,,,,0
192,1,18.286000,,,,,,,,,,0
193,1,18.328000,,,,,,,,,,0
194,1,18.660000,,,,,,,,,,0
195,1,18.160000,,,,,,,,,,0
196,1,18.374000,,,,,,,,,,0
