phase,frame,start_tick,end_tick,wall_ms
0,0,198075109,198075125,18.099000000
0,1,198075125,198075140,17.255000000
0,2,198075140,198075156,17.833000000
0,3,198075156,198075171,17.964000000
0,4,198075171,198075187,18.097000000
0,5,198075187,198075218,18.192000000
0,6,198075218,198075234,18.187000000
0,7,198075234,198075250,18.066000000
0,8,198075250,198075265,18.087000000
0,9,198075265,198075281,18.052000000
0,10,198075281,198075296,18.151000000
0,11,198075296,198075328,18.098000000
0,12,198075328,198075343,18.051000000
0,13,198075343,198075359,18.151000000
0,14,198075359,198075375,18.509000000
0,15,198075375,198075390,18.035000000
0,16,198075390,198075406,18.402000000
0,17,198075406,198075437,18.002000000
0,18,198075437,198075453,18.066000000
0,19,198075453,198075468,18.074000000
0,20,198075468,198075484,18.077000000
0,21,198075484,198075500,18.089000000
0,22,198075500,198075515,18.233000000
0,23,198075515,198075546,18.238000000
0,24,198075546,198075562,18.310000000
0,25,198075562,198075578,18.335000000
0,26,198075578,198075593,18.064000000
0,27,198075593,198075609,18.129000000
0,28,198075609,198075625,18.069000000
0,29,198075625,198075656,18.176000000
0,30,198075656,198075671,18.226000000
0,31,198075671,198075687,18.195000000
0,32,198075687,198075703,18.223000000
0,33,198075703,198075718,18.236000000
0,34,198075718,198075734,18.258000000
0,35,198075734,198075765,18.096000000
0,36,198075765,198075781,18.310000000
0,37,198075781,198075796,18.129000000
0,38,198075796,198075812,18.121000000
0,39,198075812,198075828,18.103000000
0,40,198075828,198075843,18.128000000
0,41,198075843,198075875,18.098000000
0,42,198075875,198075890,18.158000000
0,43,198075890,198075906,18.152000000
0,44,198075906,198075921,18.226000000
0,45,198075921,198075937,18.138000000
0,46,198075937,198075953,18.276000000
0,47,198075953,198075968,18.072000000
0,48,198075968,198076000,18.232000000
0,49,198076000,198076015,18.111000000
0,50,198076015,198076031,18.116000000
0,51,198076031,198076046,18.088000000
0,52,198076046,198076062,18.119000000
0,53,198076062,198076078,18.277000000
0,54,198076078,198076109,18.128000000
0,55,198076109,198076125,18.280000000
0,56,198076125,198076140,18.113000000
0,57,198076140,198076156,18.405000000
