region,round,slot,cut,start_tick,end_tick,prefix_ms,gpu_frame_ms,tail_ms,wall_ms
0,0,0,0,198997390,198997406,0.000000000,17.794700623,17.794700623,18.583000000
0,0,1,1,198997406,198997421,1.669960022,17.805860519,16.135900497,18.556000000
0,0,2,1,198997421,198997453,1.434100032,17.436500549,16.002399445,18.005000000
0,0,3,0,198997453,198997468,0.000000000,17.964340210,17.964340210,18.297000000
0,1,0,0,198997468,198997484,0.000000000,18.058500290,18.058500290,18.387000000
0,1,1,1,198997484,198997500,1.637380004,17.720380783,16.083000183,18.149000000
0,1,2,1,198997500,198997515,1.666000009,17.749799728,16.083799362,18.172000000
0,1,3,0,198997515,198997531,0.000000000,18.039539337,18.039539337,18.357000000
0,2,0,0,198997531,198997562,0.000000000,18.220800400,18.220800400,18.813000000
0,2,1,1,198997562,198997578,1.469900012,17.608499527,16.138599396,18.357000000
0,2,2,1,198997578,198997593,1.551360011,17.750160217,16.198799133,18.232000000
0,2,3,0,198997593,198997609,0.000000000,17.980859756,17.980859756,18.537000000
0,3,0,0,198997609,198997625,0.000000000,17.647260666,17.647260666,18.176000000
0,3,1,1,198997625,198997640,1.747920036,17.857019424,16.109100342,18.145000000
0,3,2,1,198997640,198997671,1.653360009,17.828060150,16.174699783,18.155000000
0,3,3,0,198997671,198997687,0.000000000,17.971340179,17.971340179,18.363000000
0,4,0,0,198997687,198997703,0.000000000,17.861120224,17.861120224,18.373000000
0,4,1,1,198997703,198997718,1.826719999,17.851720810,16.024999619,18.197000000
0,4,2,1,198997718,198997734,1.597659945,17.777160645,16.179500580,18.188000000
0,4,3,0,198997734,198997765,0.000000000,18.020399094,18.020399094,18.473000000
0,5,0,0,198997765,198997781,0.000000000,17.879999161,17.879999161,18.334000000
0,5,1,1,198997781,198997796,1.548460007,17.914859772,16.366399765,18.470000000
0,5,2,1,198997796,198997812,1.448160052,17.583059311,16.134899139,18.078000000
0,5,3,0,198997812,198997828,0.000000000,18.023799896,18.023799896,18.420000000
0,6,0,0,198997828,198997843,0.000000000,18.086479187,18.086479187,18.473000000
0,6,1,1,198997843,198997875,1.653579950,17.732280731,16.078699112,18.111000000
0,6,2,1,198997875,198997890,1.558320045,17.778120041,16.219800949,18.160000000
0,6,3,0,198997890,198997906,0.000000000,18.230920792,18.230920792,18.617000000
0,7,0,0,198997906,198997921,0.000000000,17.884019852,17.884019852,18.639000000
0,7,1,1,198997921,198997937,1.545959949,17.686460495,16.140499115,18.159000000
0,7,2,1,198997937,198997953,1.482980013,17.612880707,16.129899979,18.126000000
0,7,3,0,198997953,198997984,0.000000000,17.869779587,17.869779587,18.258000000
1,0,0,1,198998125,198998156,1.716259956,17.942560196,16.226299286,18.287000000
1,0,1,5,198998156,198998171,3.087019920,17.789720535,14.702699661,18.362000000
1,0,2,5,198998171,198998187,3.237780094,17.804679871,14.566900253,18.489000000
1,0,3,1,198998187,198998203,1.412680030,17.639280319,16.226600647,18.156000000
1,1,0,1,198998203,198998218,1.563120008,17.690719604,16.127599716,18.106000000
1,1,1,5,198998218,198998234,3.068660021,17.779359818,14.710700035,18.123000000
1,1,2,5,198998234,198998265,3.216419935,18.004419327,14.788000107,18.298000000
1,1,3,1,198998265,198998281,1.421079993,17.620880127,16.199800491,18.240000000
1,2,0,1,198998281,198998296,1.755839944,17.736640930,15.980799675,18.033000000
1,2,1,5,198998296,198998312,3.102679968,17.809179306,14.706500053,18.097000000
1,2,2,5,198998312,198998328,3.129159927,17.812559128,14.683400154,18.108000000
1,2,3,1,198998328,198998343,1.609899998,17.811399460,16.201499939,18.113000000
1,3,0,1,198998343,198998375,1.623739958,17.763439178,16.139699936,18.054000000
1,3,1,5,198998375,198998390,3.113739967,17.885740280,14.772000313,18.255000000
1,3,2,5,198998390,198998406,2.963360071,17.657859802,14.694499969,18.060000000
1,3,3,1,198998406,198998421,1.616240025,17.812240601,16.195999146,18.079000000
1,4,0,1,198998421,198998437,1.603620052,17.887319565,16.283700943,18.175000000
1,4,1,5,198998437,198998453,3.052020073,17.793420792,14.741399765,18.172000000
1,4,2,5,198998453,198998484,3.072180033,17.823780060,14.751600266,18.219000000
1,4,3,1,198998484,198998500,1.600379944,17.623580933,16.023199081,18.039000000
1,5,0,1,198998500,198998515,1.620679975,17.792579651,16.171899796,18.084000000
1,5,1,5,198998515,198998531,3.081219912,17.767520905,14.686300278,18.069000000
1,5,2,5,198998531,198998546,3.094059944,17.803859711,14.709799767,18.093000000
1,5,3,1,198998546,198998562,1.614240050,17.795240402,16.180999756,18.084000000
1,6,0,1,198998562,198998593,1.688699961,17.877799988,16.189100266,18.165000000
1,6,1,5,198998593,198998609,3.083539963,17.769439697,14.685899734,18.082000000
1,6,2,5,198998609,198998625,3.251480103,17.979280472,14.727800369,18.294000000
1,6,3,1,198998625,198998640,1.510939956,17.644239426,16.133300781,18.042000000
1,7,0,1,198998640,198998656,1.579720020,17.783319473,16.203599930,18.160000000
1,7,1,5,198998656,198998671,3.098340034,17.792940140,14.694600105,18.184000000
1,7,2,5,198998671,198998703,2.980159998,17.874759674,14.894599915,18.299000000
1,7,3,1,198998703,198998718,1.460319996,17.546220779,16.085899353,18.085000000
2,0,0,5,198998875,198998890,3.078860044,17.792060852,14.713199615,18.127000000
2,0,1,14,198998890,198998906,4.296179771,17.835680008,13.539500237,18.165000000
