phase,frame,wall_ms
0,0,12.270000000
0,1,12.396000000
0,2,12.515000000
0,3,12.640000000
0,4,12.880000000
0,5,13.000000000
0,6,12.726000000
0,7,12.720000000
0,8,12.745000000
0,9,13.062000000
0,10,12.895000000
0,11,12.743000000
0,12,12.722000000
0,13,12.910000000
0,14,12.755000000
0,15,12.925000000
0,16,12.689000000
0,17,12.967000000
0,18,12.897000000
0,19,12.912000000
0,20,12.919000000
0,21,12.958000000
0,22,12.701000000
0,23,12.928000000
0,24,12.665000000
0,25,12.722000000
0,26,12.797000000
0,27,12.906000000
0,28,12.941000000
0,29,12.914000000
0,30,12.790000000
0,31,12.916000000
0,32,12.863000000
0,33,12.765000000
0,34,12.945000000
0,35,12.807000000
0,36,12.848000000
0,37,12.891000000
0,38,12.815000000
0,39,12.734000000
0,40,12.854000000
0,41,12.786000000
0,42,12.765000000
0,43,12.763000000
0,44,12.761000000
0,45,12.823000000
0,46,12.711000000
0,47,12.888000000
0,48,12.837000000
0,49,12.820000000
0,50,12.847000000
0,51,12.878000000
0,52,12.727000000
0,53,12.794000000
0,54,12.770000000
0,55,12.753000000
0,56,12.796000000
0,57,12.809000000
0,58,12.882000000
0,59,12.757000000
0,60,12.771000000
0,61,12.740000000
0,62,12.704000000
0,63,12.790000000
0,64,12.844000000
0,65,12.750000000
0,66,12.837000000
0,67,12.863000000
0,68,12.824000000
0,69,12.940000000
0,70,12.729000000
0,71,12.780000000
0,72,12.766000000
0,73,12.741000000
0,74,12.791000000
0,75,12.801000000
0,76,12.814000000
0,77,12.732000000
0,78,12.738000000
0,79,12.893000000
0,80,12.880000000
0,81,12.855000000
0,82,12.742000000
0,83,12.767000000
0,84,12.807000000
0,85,12.721000000
0,86,12.891000000
0,87,12.702000000
0,88,12.814000000
0,89,12.766000000
0,90,12.736000000
0,91,12.795000000
0,92,12.775000000
0,93,12.739000000
0,94,12.766000000
0,95,12.715000000
0,96,12.763000000
0,97,12.710000000
0,98,12.714000000
0,99,12.814000000
1,0,12.368000000
1,1,12.419000000
1,2,12.753000000
1,3,12.840000000
1,4,12.820000000
1,5,12.934000000
1,6,12.954000000
1,7,13.059000000
1,8,12.962000000
1,9,12.861000000
1,10,12.837000000
1,11,12.817000000
1,12,12.844000000
1,13,12.849000000
1,14,12.820000000
1,15,12.858000000
1,16,12.866000000
1,17,12.812000000
1,18,12.853000000
1,19,12.876000000
1,20,12.932000000
1,21,12.870000000
1,22,12.874000000
1,23,12.877000000
1,24,12.810000000
1,25,12.813000000
1,26,12.845000000
1,27,12.795000000
1,28,12.866000000
1,29,12.992000000
1,30,12.963000000
1,31,12.841000000
1,32,12.940000000
1,33,12.957000000
1,34,13.168000000
1,35,12.862000000
1,36,12.977000000
1,37,12.989000000
1,38,12.887000000
1,39,12.935000000
1,40,12.947000000
1,41,12.857000000
1,42,12.884000000
1,43,12.972000000
1,44,12.946000000
1,45,12.858000000
1,46,12.932000000
1,47,12.885000000
1,48,13.020000000
1,49,12.831000000
1,50,12.798000000
1,51,12.967000000
1,52,12.941000000
1,53,12.950000000
1,54,12.960000000
1,55,12.848000000
1,56,12.974000000
1,57,12.841000000
1,58,12.974000000
1,59,12.965000000
1,60,12.896000000
1,61,12.994000000
1,62,12.960000000
1,63,12.805000000
1,64,12.868000000
1,65,12.856000000
1,66,12.888000000
1,67,12.926000000
1,68,12.905000000
1,69,12.947000000
1,70,12.978000000
1,71,12.864000000
1,72,13.061000000
1,73,12.963000000
1,74,13.002000000
1,75,12.857000000
1,76,12.900000000
1,77,12.831000000
1,78,12.937000000
1,79,12.894000000
1,80,12.882000000
1,81,12.900000000
1,82,12.906000000
1,83,12.865000000
1,84,12.867000000
1,85,12.851000000
1,86,12.889000000
1,87,12.857000000
1,88,12.847000000
1,89,12.863000000
1,90,12.867000000
1,91,12.931000000
1,92,12.883000000
1,93,12.952000000
1,94,12.932000000
1,95,12.986000000
1,96,12.964000000
1,97,12.848000000
1,98,12.884000000
1,99,12.852000000
