frame,index,module,kernel,stage,groups,threads,count,start_ms,end_ms,duration_ms,frame_ms,scalar_args
0,0,c32_fused_ffn,c32_fast_ffn_attention_fused_half_prefix_finish_main8,pre-down,24000,128,24000,0.016440000,1.095839977,1.079399943,23.410200119,_;_;_;_;_;_;24000;0;1;1600;960;0;0
0,1,c32_fused_ffn,c32_fast_ffn_attention_fused_half_mapped,block4,6000,128,6000,1.097399950,1.412119985,0.314720005,23.410200119,_;_;_;_;6000;0;1;800;480;0;0
0,2,c32_fused_ffn,c32_fast_ffn_attention_fused_half_chain,block4,6161,128,6161,1.413519979,1.709599972,0.296079993,23.410200119,_;_;_;_;6161;3;1;800;480;4;4;800;0;0
0,3,c32_fused_ffn,c32_fast_ffn_attention_fused_half_chain,block4,6060,128,6060,1.711159945,2.001319885,0.290160000,23.410200119,_;_;_;_;6060;3;1;800;480;4;0;808;4;4
0,4,c32_fused_ffn,c32_fast_ffn_attention_fused_half_chain_finish_dcrop,block4,6100,128,6100,2.002880096,2.313159943,0.310279995,23.410200119,_;_;_;_;_;6100;3;1;800;480;0;4;808;4;0
0,5,mh_fast,mh_pool_project_production_h16w,block5,24000,32,6144000,2.396480083,2.397039890,0.000560000,23.410200119,_;_;_;400;240;0;0;32
0,6,mh_fast,mh_ffn_fused_c64_project_g128_qkv_fb,block5,6000,128,6144000,2.405319929,2.544960022,0.139640003,23.410200119,_;_;_;_;_;96000;400;240;400;0;0
0,7,mh_fused,c64_attention_project_fb_bout_diag,block5,1500,256,1500,2.652040005,2.652679920,0.000640000,23.410200119,_;_;_;_;400;240;4;0;0;0;0
0,8,mh_fast,mh_ffn_fused_c64_project_mapped_g128_qkv_bytein_fb,block6,6324,128,6475776,2.654079914,2.817039967,0.162959993,23.410200119,_;_;_;_;_;101184;400;240;408;4;4
0,9,mh_fused,c64_attention_project_fb_bout_diag,block6,1581,256,1581,2.941319942,2.941839933,0.000520000,23.410200119,_;_;_;_;408;248;4;400;240;4;4
0,10,mh_fast,mh_ffn_fused_c64_project_mapped_g128_qkv_bytein_fb,block7,6120,128,6266880,2.943320036,3.101360083,0.158040002,23.410200119,_;_;_;_;_;97920;400;240;408;4;0
0,11,mh_fused,c64_attention_project_fb_bout_diag,block7,1530,256,1530,3.222840071,3.223400116,0.000560000,23.410200119,_;_;_;_;408;240;4;400;240;4;0
0,12,mh_fast,mh_ffn_fused_c64_project_mapped_g128_qkv_bytein_fb,block8,6200,128,6348800,3.224920034,3.383480072,0.158559993,23.410200119,_;_;_;_;_;99200;400;240;400;0;4
0,13,mh_fused,c64_attention_project_fb_diag,block8,1550,256,1550,3.506360054,3.507080078,0.000720000,23.410200119,_;_;_;_;400;248;3;400;240;0;4
0,14,mh_fast,mh_pool_project_group_c64,block9,1500,64,3072000,3.508599997,3.583319902,0.074720003,23.410200119,_;_;_;200;120;400;0;0
