region,round,slot,cut,start_tick,end_tick,prefix_ms,gpu_frame_ms,tail_ms,wall_ms
0,0,0,0,198597906,198597921,0.004920000,12.234100342,12.229180336,12.708000000
0,0,1,1,198597921,198597937,1.125720024,12.488120079,11.362400055,12.636000000
0,0,2,1,198597937,198597953,1.092900038,12.494899750,11.402000427,12.657000000
0,0,3,0,198597953,198597953,0.004840000,12.844160080,12.839320183,13.006000000
0,1,0,0,198597953,198597968,0.004560000,12.418319702,12.413760185,12.742000000
0,1,1,1,198597968,198597984,1.108999968,12.495699883,11.386699677,12.644000000
0,1,2,1,198597984,198598000,1.123059988,12.489159584,11.366100311,12.657000000
0,1,3,0,198598000,198598015,0.004960000,12.627479553,12.622520447,12.786000000
0,2,0,0,198598015,198598031,0.004720000,12.695759773,12.691040039,12.852000000
0,2,1,1,198598031,198598031,1.121620059,12.481519699,11.359900475,12.637000000
0,2,2,1,198598031,198598046,1.123759985,12.458160400,11.334400177,12.617000000
0,2,3,0,198598046,198598062,0.004840000,12.647159576,12.642319679,12.789000000
0,3,0,0,198598062,198598078,0.004680000,12.652739525,12.648059845,12.799000000
0,3,1,1,198598078,198598093,1.113479972,12.505180359,11.391699791,12.657000000
0,3,2,1,198598093,198598093,1.163640022,12.498940468,11.335300446,12.641000000
0,3,3,0,198598093,198598109,0.004840000,12.630299568,12.625459671,12.796000000
0,4,0,0,198598109,198598125,0.004720000,12.666660309,12.661939621,12.846000000
0,4,1,1,198598125,198598140,1.118460059,12.473360062,11.354900360,12.655000000
0,4,2,1,198598140,198598156,1.113280058,12.450579643,11.337300301,12.664000000
0,4,3,0,198598156,198598156,0.004840000,12.626600266,12.621760368,12.822000000
0,5,0,0,198598156,198598171,0.021960000,12.635780334,12.613820076,12.834000000
0,5,1,1,198598171,198598187,1.124699950,12.512499809,11.387800217,12.651000000
0,5,2,1,198598187,198598203,1.126520038,12.473819733,11.347299576,12.630000000
0,5,3,0,198598203,198598218,0.004800000,12.664699554,12.659899712,12.829000000
