height,round,slot,pdl,mean_ms
900,1,0,1,11.06976
900,1,1,0,11.17798
900,1,2,0,11.19994
900,1,3,1,11.12644
900,2,0,1,11.13214
900,2,1,0,11.22816
900,2,2,0,11.24888
900,2,3,1,11.19742
900,3,0,1,11.19491
900,3,1,0,11.27985
900,3,2,0,11.28511
900,3,3,1,11.21521
1080,1,0,1,15.72067
1080,1,1,0,15.78593
1080,1,2,0,15.76235
1080,1,3,1,15.68268
1080,2,0,1,15.67827
1080,2,1,0,15.75668
1080,2,2,0,15.76193
1080,2,3,1,15.69494
1080,3,0,1,15.69329
1080,3,1,0,15.7905
1080,3,2,0,15.77408
1080,3,3,1,15.73769
