config,run,bad,frames,victim_mean_ms
pdl1,1,0,,24.91
pdl0,1,0,,26.86
pdl1,2,0,,21.52
pdl0,2,0,,27.94
pdl1,3,0,,24.43
pdl0,3,0,,27.65
pdl1,4,0,,23.35
pdl0,4,0,,27.42
pdl1,5,0,,25.38
pdl0,5,0,,27.27
pdl1,6,0,,24.53
pdl0,6,0,,26.93
pdl1,7,0,,21.7
pdl0,7,0,,27.24
pdl1,8,0,,25.22
pdl0,8,0,,27.49
pdl1,9,0,,24.08
pdl0,9,0,,22.47
pdl1,10,0,,24.81
pdl0,10,0,,28.05
pdl1,11,0,,23.6
pdl0,11,0,,27.3
pdl1,12,0,,22.69
pdl0,12,0,,27.87
pdl1,13,0,,24.36
pdl0,13,0,,27.61
pdl1,14,0,,22.07
pdl0,14,0,,25.14
pdl1,15,0,,24.43
pdl0,15,0,,24.2
pdl1,16,0,,24.05
pdl0,16,0,,22.62
pdl1,17,0,,24.86
pdl0,17,0,,28.2
pdl1,18,0,,24.83
pdl0,18,0,,24.59
pdl1,19,0,,24.96
pdl0,19,0,,27.52
pdl1,20,0,,21.9
pdl0,20,0,,27.83
pdl1,21,0,,23.01
pdl0,21,0,,27.65
pdl1,22,0,,24.42
pdl0,22,0,,27.61
pdl1,23,0,,21.06
pdl0,23,0,,27.47
pdl1,24,0,,25.31
pdl0,24,0,,25.09
pdl1,25,0,,25.06
pdl0,25,0,,27.21
pdl1,26,0,,24.44
pdl0,26,0,,28.29
pdl1,27,0,,24.25
pdl0,27,0,,24.14
pdl1,28,0,,23.67
pdl0,28,0,,27.96
pdl1,29,0,,24.15
pdl0,29,0,,28
pdl1,30,0,,25.19
pdl0,30,0,,27.46
pdl1,31,0,,24.37
pdl0,31,0,,27.71
pdl1,32,0,,24.56
pdl0,32,0,,27.86
pdl1,33,0,,25.19
pdl0,33,0,,23.54
pdl1,34,0,,20.93
pdl0,34,0,,28.17
pdl1,35,0,,24.74
pdl0,35,0,,28.03
pdl1,36,0,,24.78
pdl0,36,0,,22.99
pdl1,37,0,,25.17
pdl0,37,0,,23.66
pdl1,38,0,,24.64
pdl0,38,0,,23.23
pdl1,39,0,,21.21
pdl0,39,0,,27.1
pdl1,40,0,,24.74
pdl0,40,0,,23.28
pdl1,41,0,,23.93
pdl0,41,0,,24.18
pdl1,42,0,,24.96
pdl0,42,0,,26.96
pdl1,43,0,,23.79
pdl0,43,0,,27.26
pdl1,44,0,,22.27
pdl0,44,0,,27.27
pdl1,45,0,,23.29
pdl0,45,0,,27.59
pdl1,46,0,,24
pdl0,46,0,,23.42
pdl1,47,0,,21.77
pdl0,47,0,,28.12
pdl1,48,0,,22.13
pdl0,48,0,,28.05
pdl1,49,0,,25.1
pdl0,49,0,,23.08
pdl1,50,0,,21.58
pdl0,50,0,,27.47
pdl1,51,0,,25.64
pdl0,51,0,,24.89
pdl1,52,0,,22.66
pdl0,52,0,,27.11
pdl1,53,0,,24.86
pdl0,53,0,,27.65
pdl1,54,0,,25.16
pdl0,54,0,,28
pdl1,55,0,,25.27
pdl0,55,0,,27.62
pdl1,56,0,,25.01
pdl0,56,0,,26.92
pdl1,57,0,,22.43
pdl0,57,0,,24.07
pdl1,58,0,,24.46
pdl0,58,0,,28.14
pdl1,59,0,,20.84
pdl0,59,0,,27.89
pdl1,60,0,,25.27
pdl0,60,0,,24.92
