config,height,run,bad,frames
pdl1,1080,1,0,
pdl1,1080,2,0,
pdl1,1080,3,0,
pdl1,1080,4,0,
pdl1,1080,5,0,
pdl1,1080,6,0,
pdl1,1080,7,0,
pdl1,1080,8,0,
pdl1,1080,9,0,
pdl1,1080,10,0,
pdl1,1080,11,0,
pdl1,1080,12,0,
pdl1,1080,13,0,
pdl1,1080,14,0,
pdl1,1080,15,0,
pdl1,1080,16,0,
pdl1,1080,17,0,
pdl1,1080,18,0,
pdl1,1080,19,0,
pdl1,1080,20,0,
pdl1,1080,21,0,
pdl1,1080,22,0,
pdl1,1080,23,0,
pdl1,1080,24,0,
pdl1,1080,25,0,
pdl1,1080,26,0,
pdl1,1080,27,0,
pdl1,1080,28,0,
pdl1,1080,29,0,
pdl1,1080,30,0,
pdl1,1080,31,0,
pdl1,1080,32,0,
pdl1,1080,33,0,
pdl1,1080,34,0,
pdl1,1080,35,0,
pdl1,1080,36,0,
pdl1,1080,37,0,
pdl1,1080,38,0,
pdl1,1080,39,0,
pdl1,1080,40,0,
pdl1,1080,41,0,
pdl1,1080,42,0,
pdl1,1080,43,0,
pdl1,1080,44,0,
pdl1,1080,45,0,
pdl1,1080,46,0,
pdl1,1080,47,0,
pdl1,1080,48,0,
pdl1,1080,49,0,
pdl1,1080,50,0,
