primer,pdl,run,bad,frames
extra-720-motion-True,1,1,0,
extra-720-motion-True,1,2,0,
extra-720-motion-True,1,3,0,
extra-720-motion-True,1,4,0,
extra-720-motion-True,1,5,0,
extra-720-motion-True,1,6,0,
extra-720-motion-True,1,7,0,
extra-720-motion-True,1,8,0,
extra-720-motion-True,1,9,0,
extra-720-motion-True,1,10,0,
extra-720-motion-True,1,11,0,
extra-720-motion-True,1,12,0,
extra-720-motion-True,1,13,0,
extra-720-motion-True,1,14,0,
extra-720-motion-True,1,15,0,
extra-720-motion-True,1,16,0,
extra-720-motion-True,1,17,0,
extra-720-motion-True,1,18,0,
extra-720-motion-True,1,19,0,
extra-720-motion-True,1,20,0,
extra-720-motion-True,1,21,0,
extra-720-motion-True,1,22,0,
extra-720-motion-True,1,23,0,
extra-720-motion-True,1,24,0,
extra-720-motion-True,1,25,0,
extra-720-motion-True,1,26,0,
extra-720-motion-True,1,27,0,
extra-720-motion-True,1,28,0,
extra-720-motion-True,1,29,0,
extra-720-motion-True,1,30,0,
