frame,reset,wall_ms,invalid,rgb_min,rgb_max,luma_mean,roi_luma_mean,dark_pixels,roi_dark_pixels,changed_half_values_from_first,maxabs_from_first,checked
0,1,1292.558000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
1,1,24.701000,,,,,,,,,,0
2,1,18.848000,,,,,,,,,,0
3,1,18.518000,,,,,,,,,,0
4,1,18.370000,,,,,,,,,,0
5,1,18.407000,,,,,,,,,,0
6,1,18.633000,,,,,,,,,,0
7,1,18.472000,,,,,,,,,,0
8,1,18.386000,,,,,,,,,,0
9,1,18.332000,,,,,,,,,,0
10,1,18.694000,,,,,,,,,,0
11,1,19.045000,,,,,,,,,,0
12,1,18.970000,,,,,,,,,,0
13,1,19.123000,,,,,,,,,,0
14,1,19.083000,,,,,,,,,,0
15,1,19.147000,,,,,,,,,,0
16,1,18.528000,,,,,,,,,,0
17,1,18.486000,,,,,,,,,,0
18,1,18.556000,,,,,,,,,,0
19,1,18.489000,,,,,,,,,,0
20,1,18.651000,,,,,,,,,,0
21,1,18.834000,,,,,,,,,,0
22,1,18.579000,,,,,,,,,,0
23,1,18.543000,,,,,,,,,,0
24,1,18.458000,,,,,,,,,,0
25,1,18.867000,,,,,,,,,,0
26,1,18.478000,,,,,,,,,,0
27,1,18.485000,,,,,,,,,,0
28,1,18.478000,,,,,,,,,,0
29,1,18.567000,,,,,,,,,,0
30,1,18.506000,,,,,,,,,,0
31,1,18.563000,,,,,,,,,,0
32,1,18.703000,,,,,,,,,,0
33,1,18.711000,,,,,,,,,,0
34,1,18.553000,,,,,,,,,,0
35,1,18.582000,,,,,,,,,,0
36,1,18.913000,,,,,,,,,,0
37,1,18.903000,,,,,,,,,,0
38,1,18.844000,,,,,,,,,,0
39,1,18.792000,,,,,,,,,,0
40,1,18.690000,,,,,,,,,,0
41,1,18.620000,,,,,,,,,,0
42,1,18.649000,,,,,,,,,,0
43,1,18.606000,,,,,,,,,,0
44,1,18.828000,,,,,,,,,,0
45,1,18.814000,,,,,,,,,,0
46,1,19.024000,,,,,,,,,,0
47,1,18.655000,,,,,,,,,,0
48,1,18.585000,,,,,,,,,,0
49,1,18.711000,,,,,,,,,,0
50,1,18.632000,,,,,,,,,,0
51,1,18.619000,,,,,,,,,,0
52,1,18.793000,,,,,,,,,,0
53,1,18.883000,,,,,,,,,,0
54,1,19.034000,,,,,,,,,,0
55,1,18.634000,,,,,,,,,,0
56,1,18.634000,,,,,,,,,,0
57,1,18.758000,,,,,,,,,,0
58,1,18.788000,,,,,,,,,,0
59,1,18.784000,,,,,,,,,,0
60,1,18.799000,,,,,,,,,,0
61,1,18.937000,,,,,,,,,,0
62,1,18.533000,,,,,,,,,,0
63,1,18.737000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
