frame,enqueue_ms,wait_ms,total_ms
0,0.194000000,18.165000000,18.359000000
1,0.163000000,18.130000000,18.293000000
2,0.153000000,18.161000000,18.314000000
3,0.136000000,18.338000000,18.474000000
4,0.153000000,18.220000000,18.373000000
5,0.143000000,18.113000000,18.256000000
6,0.134000000,18.227000000,18.361000000
7,0.138000000,18.148000000,18.286000000
8,0.164000000,18.206000000,18.370000000
9,0.144000000,18.183000000,18.327000000
10,0.146000000,18.254000000,18.400000000
11,0.155000000,18.166000000,18.322000000
12,0.151000000,18.189000000,18.340000000
13,0.139000000,18.112000000,18.251000000
14,0.130000000,18.342000000,18.473000000
15,0.134000000,18.127000000,18.261000000
16,0.134000000,18.119000000,18.253000000
17,0.131000000,18.171000000,18.302000000
18,0.149000000,18.192000000,18.341000000
19,0.149000000,18.250000000,18.399000000
20,0.152000000,18.106000000,18.259000000
21,0.143000000,18.274000000,18.417000000
22,0.145000000,18.255000000,18.400000000
23,0.145000000,18.143000000,18.288000000
24,0.129000000,18.240000000,18.369000000
25,0.137000000,18.159000000,18.296000000
26,0.132000000,18.174000000,18.306000000
27,0.151000000,18.125000000,18.276000000
28,0.143000000,18.187000000,18.330000000
29,0.127000000,18.192000000,18.319000000
30,0.132000000,18.311000000,18.443000000
31,0.134000000,18.122000000,18.256000000
32,0.139000000,18.170000000,18.309000000
33,0.135000000,18.167000000,18.302000000
34,0.144000000,18.296000000,18.440000000
35,0.143000000,18.126000000,18.269000000
36,0.141000000,18.187000000,18.329000000
37,0.148000000,18.118000000,18.266000000
38,0.142000000,18.212000000,18.354000000
39,0.136000000,18.150000000,18.286000000
40,0.135000000,18.158000000,18.293000000
41,0.136000000,18.146000000,18.282000000
42,0.136000000,18.311000000,18.447000000
43,0.151000000,18.224000000,18.375000000
44,0.329000000,18.020000000,18.350000000
45,0.148000000,18.157000000,18.305000000
46,0.147000000,18.126000000,18.273000000
47,0.140000000,18.187000000,18.327000000
48,0.156000000,18.154000000,18.310000000
49,0.186000000,18.208000000,18.394000000
50,0.171000000,18.126000000,18.297000000
51,0.144000000,18.113000000,18.257000000
52,0.147000000,18.221000000,18.368000000
53,0.149000000,18.366000000,18.515000000
54,0.139000000,18.187000000,18.326000000
55,0.159000000,18.199000000,18.358000000
56,0.142000000,18.152000000,18.294000000
57,0.134000000,18.156000000,18.290000000
58,0.142000000,18.253000000,18.395000000
59,0.126000000,18.468000000,18.594000000
60,0.146000000,18.175000000,18.321000000
61,0.168000000,18.202000000,18.370000000
62,0.136000000,18.158000000,18.294000000
63,0.166000000,18.122000000,18.288000000
