kind,repeat,target,slot,active,frames,ms,hits_per_frame,bitdiff
cand,0,5,0,0,300,14.960207667,0.000,0
cand,0,5,1,1,300,14.962411333,1.000,0
cand,0,5,2,1,300,14.943613667,1.000,0
cand,0,5,3,0,300,15.001664667,0.000,0
cand,1,5,0,0,300,14.984177667,0.000,0
cand,1,5,1,1,300,14.974784667,1.000,0
cand,1,5,2,1,300,14.971421000,1.000,0
cand,1,5,3,0,300,14.988673333,0.000,0
cand,2,5,0,0,300,14.997834000,0.000,0
cand,2,5,1,1,300,14.990063667,1.000,0
cand,2,5,2,1,300,14.991980667,1.000,0
cand,2,5,3,0,300,15.011715000,0.000,0
cand,3,5,0,0,300,14.987010333,0.000,0
cand,3,5,1,1,300,14.984604333,1.000,0
cand,3,5,2,1,300,14.965484000,1.000,0
cand,3,5,3,0,300,15.095054667,0.000,0
cand,4,5,0,0,300,15.142425667,0.000,0
cand,4,5,1,1,300,15.105318333,1.000,0
cand,4,5,2,1,300,15.098777667,1.000,0
cand,4,5,3,0,300,15.141059667,0.000,0
cand,5,5,0,0,300,15.198340667,0.000,0
cand,5,5,1,1,300,15.135919000,1.000,0
cand,5,5,2,1,300,15.160262333,1.000,0
cand,5,5,3,0,300,15.185106000,0.000,0
