kind,repeat,target,slot,active,frames,ms,hits_per_frame,bitdiff
cand,0,1,0,0,200,10.670321500,0.000,0
cand,0,1,1,1,200,10.755286500,8.000,0
cand,0,1,2,1,200,10.781614000,8.000,0
cand,0,1,3,0,200,10.718772000,0.000,0
cand,1,1,0,0,200,10.745234000,0.000,0
cand,1,1,1,1,200,10.860450500,8.000,0
cand,1,1,2,1,200,10.859768000,8.000,0
cand,1,1,3,0,200,10.790016500,0.000,0
cand,2,1,0,0,200,10.827944500,0.000,0
cand,2,1,1,1,200,10.920720000,8.000,0
cand,2,1,2,1,200,10.887419000,8.000,0
cand,2,1,3,0,200,10.852096000,0.000,0
