kind,repeat,target,slot,active,frames,ms,hits_per_frame,bitdiff
cand,0,5,0,0,200,10.597653000,0.000,0
cand,0,5,1,1,200,10.603440000,1.000,0
cand,0,5,2,1,200,10.606131000,1.000,0
cand,0,5,3,0,200,10.642524500,0.000,0
cand,1,5,0,0,200,10.641871500,0.000,0
cand,1,5,1,1,200,10.659702000,1.000,0
cand,1,5,2,1,200,10.663281000,1.000,0
cand,1,5,3,0,200,10.695175000,0.000,0
cand,2,5,0,0,200,10.715177500,0.000,0
cand,2,5,1,1,200,10.679914500,1.000,0
cand,2,5,2,1,200,10.727570500,1.000,0
cand,2,5,3,0,200,10.728752000,0.000,0
