variant,slot,tokens,launches,mean_us,output_diff,checked_bytes,start_ms,end_ms
control,0,640,8454,35.554648687,0,2621440,254886968,254887265
control,1,640,9315,36.014600107,0,2621440,254887343,254887687
control,2,640,9696,35.980198020,0,2621440,254887781,254888125
control,3,640,9538,36.115013630,0,2621440,254888218,254888562
control,4,640,10240,36.037890625,0,2621440,254888656,254889015
control,5,640,9815,35.867753439,0,2621440,254889109,254889468
control,6,640,10015,35.882975537,0,2621440,254889562,254889921
control,7,640,9696,36.052805281,0,2621440,254890015,254890359
m32n32_u4,0,640,10289,36.130138983,0,2621440,254890453,254890828
m32n32_u4,1,640,7433,48.611058792,0,2621440,254890921,254891281
m32n32_u4,2,640,7646,48.599398378,0,2621440,254891375,254891750
m32n32_u4,3,640,10126,36.063697413,0,2621440,254891843,254892218
m32n32_u4,4,640,10158,36.090372120,0,2621440,254892312,254892671
m32n32_u4,5,640,7215,48.621898822,0,2621440,254892765,254893109
m32n32_u4,6,640,7373,48.631764546,0,2621440,254893203,254893562
m32n32_u4,7,640,10015,36.145481777,0,2621440,254893656,254894031
m32n32_u1,0,640,9609,36.167030909,0,2621440,254894109,254894468
m32n32_u1,1,640,4377,78.537125885,0,2621440,254894562,254894906
m32n32_u1,2,640,4661,78.387899592,0,2621440,254895000,254895359
m32n32_u1,3,640,9065,36.345284060,0,2621440,254895453,254895781
m32n32_u1,4,640,10000,36.290800000,0,2621440,254895875,254896234
m32n32_u1,5,640,4398,78.991587085,0,2621440,254896328,254896671
m32n32_u1,6,640,4410,78.389795918,0,2621440,254896765,254897109
m32n32_u1,7,640,7272,36.506050605,0,2621440,254897187,254897453
m32n32_col,0,640,10272,36.393204829,0,2621440,254897546,254897921
m32n32_col,1,640,8236,43.437226809,0,2621440,254898015,254898375
m32n32_col,2,640,8366,43.429117858,0,2621440,254898468,254898828
m32n32_col,3,640,8070,36.443742255,0,2621440,254898906,254899203
m32n32_col,4,640,9682,36.435860359,0,2621440,254899296,254899640
m32n32_col,5,640,8080,43.443069307,0,2621440,254899734,254900078
m32n32_col,6,640,8476,43.473926380,0,2621440,254900187,254900546
m32n32_col,7,640,9968,36.459570626,0,2621440,254900640,254901000
