stage,slot,tiled,tokens,launches,mean_us,output_diff,checked_bytes,start_ms,end_ms
shape_row,0,0,400,13141,25.715394567,0,1638400,255200546,255200890
shape_row,1,1,400,11700,31.570000000,0,1638400,255200984,255201359
shape_row,2,1,400,10305,31.445997089,0,1638400,255201437,255201765
shape_row,3,0,400,13530,24.860014782,0,1638400,255201859,255202187
shape_row,4,0,400,13646,24.908178221,0,1638400,255202281,255202609
shape_row,5,1,400,10158,31.378224060,0,1638400,255202703,255203015
shape_row,6,1,400,10684,31.310089854,0,1638400,255203109,255203437
shape_row,7,0,400,12098,25.098859316,0,1638400,255203515,255203828
shape_tiled,0,0,400,12723,24.616757054,0,1638400,255203906,255204218
shape_tiled,1,1,400,11287,24.033755648,0,1638400,255204281,255204562
shape_tiled,2,1,400,14645,23.940389211,0,1638400,255204656,255205000
shape_tiled,3,0,400,13822,24.592027203,0,1638400,255205093,255205421
shape_tiled,4,0,400,12524,24.560044714,0,1638400,255205515,255205812
shape_tiled,5,1,400,14545,24.160742523,0,1638400,255205906,255206265
shape_tiled,6,1,400,12648,24.117963314,0,1638400,255206343,255206640
shape_tiled,7,0,400,12698,24.656953851,0,1638400,255206718,255207046
layout_balanced,0,0,400,11594,31.287390029,0,1638400,255207125,255207500
layout_balanced,1,1,400,14645,23.919153295,0,1638400,255207593,255207937
layout_balanced,2,1,400,13793,24.200174001,0,1638400,255208031,255208359
layout_balanced,3,0,400,10110,31.071909001,0,1638400,255208437,255208750
layout_balanced,4,0,400,10015,31.445731403,0,1638400,255208843,255209156
layout_balanced,5,1,400,12379,24.388318927,0,1638400,255209234,255209531
layout_balanced,6,1,400,12673,24.293537442,0,1638400,255209609,255209921
layout_balanced,7,0,400,11573,31.400760391,0,1638400,255210015,255210375
pack,0,0,400,40000,1.559475000,0,409600,255210390,255210453
pack,1,1,400,40000,2.321625000,0,409600,255210484,255210578
pack,2,1,400,40000,2.421150000,0,409600,255210593,255210687
pack,3,0,400,40000,2.061850000,0,409600,255210718,255210796
pack,4,0,400,40000,2.054650000,0,409600,255210828,255210906
pack,5,1,400,40000,2.417625000,0,409600,255210937,255211031
pack,6,1,400,40000,2.459700000,0,409600,255211046,255211156
pack,7,0,400,40000,2.088525000,0,409600,255211171,255211250
pair,0,0,400,9155,26.635499727,0,1638400,255211328,255211562
pair,1,1,400,11228,25.912272889,0,1638400,255211640,255211937
pair,2,1,400,12981,25.913257838,0,1638400,255212015,255212359
pair,3,0,400,11287,26.985115620,0,1638400,255212437,255212734
pair,4,0,400,12774,26.249021450,0,1638400,255212828,255213156
pair,5,1,400,13733,24.725478774,0,1638400,255213250,255213593
pair,6,1,400,13278,24.695436060,0,1638400,255213671,255214000
pair,7,0,400,10720,26.006063433,0,1638400,255214078,255214359
