variant,slot,tokens,launches,mean_us,output_diff,checked_bytes,start_ms,end_ms
work1,0,640,9014,35.661859330,0,2621440,213412343,213412671
work1,1,640,9481,35.821010442,0,2621440,213412750,213413093
work1,2,640,9580,35.719937370,0,2621440,213413187,213413515
work1,3,640,9953,35.920727419,0,2621440,213413609,213413968
work1,4,640,9876,35.941474281,0,2621440,213414062,213414421
work1,5,640,10031,35.669624165,0,2621440,213414515,213414875
work1,6,640,9425,35.660159151,0,2621440,213414953,213415296
work1,7,640,10078,35.901865449,0,2621440,213415390,213415750
work2,0,640,10289,35.947613957,0,2621440,213415843,213416218
work2,1,640,5755,60.775499566,0,2621440,213416296,213416656
work2,2,640,6136,60.813722295,0,2621440,213416750,213417125
work2,3,640,9001,35.986001555,0,2621440,213417203,213417531
work2,4,640,9846,35.932155190,0,2621440,213417625,213417968
work2,5,640,6049,60.800132253,0,2621440,213418078,213418437
work2,6,640,5555,60.841764176,0,2621440,213418531,213418859
work2,7,640,7664,36.037056367,0,2621440,213418937,213419218
work4,0,640,9495,35.983254344,0,2621440,213419296,213419640
work4,1,640,4280,87.476635514,0,2621440,213419750,213420125
work4,2,640,4040,87.499752475,0,2621440,213420218,213420562
work4,3,640,8366,36.247191011,0,2621440,213420640,213420953
work4,4,640,9638,36.179601577,0,2621440,213421046,213421390
work4,5,640,4255,87.674735605,0,2621440,213421484,213421859
work4,6,640,4338,87.537574919,0,2621440,213421968,213422343
work4,7,640,9756,36.323698237,0,2621440,213422437,213422781
work8,0,640,9968,36.319020867,0,2621440,213422875,213423250
work8,1,640,2297,169.437962560,0,2621440,213423343,213423734
work8,2,640,2380,170.358403361,0,2621440,213423843,213424250
work8,3,640,9624,36.376142976,0,2621440,213424343,213424703
work8,4,640,9653,36.399772092,0,2621440,213424781,213425140
work8,5,640,2421,169.869888476,0,2621440,213425250,213425656
work8,6,640,2425,169.502268041,0,2621440,213425765,213426187
work8,7,640,7450,36.463624161,0,2621440,213426250,213426531
control2,0,640,9653,36.402051176,0,2621440,213426625,213426968
control2,1,640,6852,50.365878576,0,2621440,213427062,213427406
control2,2,640,6830,50.381991215,0,2621440,213427500,213427843
control2,3,640,9846,36.478062157,0,2621440,213427937,213428296
control2,4,640,9711,36.490886623,0,2621440,213428375,213428734
control2,5,640,6874,50.374308990,0,2621440,213428828,213429171
control2,6,640,7239,50.383063959,0,2621440,213429265,213429640
control2,7,640,8648,36.424838113,0,2621440,213429718,213430031
control4,0,640,10289,36.397706288,0,2621440,213430125,213430500
control4,1,640,6687,51.802302976,0,2621440,213430593,213430937
control4,2,640,7289,51.834956784,0,2621440,213431031,213431406
control4,3,640,9065,36.485603971,0,2621440,213431500,213431828
control4,4,640,10062,36.497018485,0,2621440,213431921,213432296
control4,5,640,6207,51.841469309,0,2621440,213432375,213432703
control4,6,640,6941,51.851030111,0,2621440,213432796,213433156
control4,7,640,10094,36.494254012,0,2621440,213433250,213433609
control8,0,640,8791,36.500853145,0,2621440,213433703,213434015
control8,1,640,6881,53.340357506,0,2621440,213434109,213434484
control8,2,640,6207,53.343322056,0,2621440,213434562,213434890
control8,3,640,9741,36.537213838,0,2621440,213434984,213435343
control8,4,640,8719,36.645486868,0,2621440,213435421,213435750
control8,5,640,5866,53.344698261,0,2621440,213435828,213436140
control8,6,640,6911,53.335262625,0,2621440,213436234,213436609
control8,7,640,9891,36.614700233,0,2621440,213436703,213437062
