variant,slot,tokens,launches,mean_us,output_diff,checked_bytes,start_ms,end_ms
work1,0,640,9116,35.833150505,0,2621440,213695343,213695671
work1,1,640,9638,35.998339905,0,2621440,213695765,213696109
work1,2,640,9001,35.735584935,0,2621440,213696187,213696515
work1,3,640,8215,35.880462568,0,2621440,213696593,213696890
work1,4,640,10256,35.935939938,0,2621440,213696984,213697343
work1,5,640,8421,35.747060919,0,2621440,213697421,213697734
work1,6,640,9984,35.766626603,0,2621440,213697812,213698171
work1,7,640,8080,36.028217822,0,2621440,213698250,213698546
work2,0,640,9741,36.096704650,0,2621440,213698640,213698984
work2,1,640,6324,60.636306135,0,2621440,213699078,213699468
work2,2,640,6043,60.651828562,0,2621440,213699562,213699937
work2,3,640,10094,36.113334654,0,2621440,213700031,213700390
work2,4,640,9876,36.132847307,0,2621440,213700484,213700843
work2,5,640,6280,60.602547771,0,2621440,213700937,213701312
work2,6,640,6387,60.320807891,0,2621440,213701421,213701796
work2,7,640,10062,36.199165176,0,2621440,213701890,213702265
work4,0,640,10613,36.259869971,0,2621440,213702359,213702750
work4,1,640,4698,83.696466582,0,2621440,213702843,213703234
work4,2,640,4797,83.250990202,0,2621440,213703343,213703750
work4,3,640,7673,36.278378731,0,2621440,213703812,213704093
work4,4,640,8376,36.281041070,0,2621440,213704171,213704484
work4,5,640,4674,84.187633718,0,2621440,213704578,213704968
work4,6,640,4568,83.738616462,0,2621440,213705078,213705453
work4,7,640,7547,36.361070624,0,2621440,213705531,213705812
work8,0,640,9638,36.403610708,0,2621440,213705890,213706250
work8,1,640,2751,146.580516176,0,2621440,213706359,213706765
work8,2,640,2808,146.204415954,0,2621440,213706875,213707281
work8,3,640,9953,36.468301015,0,2621440,213707375,213707734
work8,4,640,9667,36.411606496,0,2621440,213707828,213708171
work8,5,640,2771,146.179357633,0,2621440,213708281,213708687
work8,6,640,2797,146.350375402,0,2621440,213708796,213709203
work8,7,640,9937,36.470665191,0,2621440,213709296,213709671
control2,0,640,9682,36.470563933,0,2621440,213709750,213710109
control2,1,640,10191,36.369934256,0,2621440,213710203,213710578
control2,2,640,9397,36.418218580,0,2621440,213710671,213711015
control2,3,640,9770,36.501432958,0,2621440,213711093,213711453
control2,4,640,9876,36.496658566,0,2621440,213711546,213711906
control2,5,640,9953,36.453531599,0,2621440,213712000,213712359
control2,6,640,9552,36.463986600,0,2621440,213712453,213712796
control2,7,640,9861,36.527329885,0,2621440,213712890,213713250
control4,0,640,8827,36.550016993,0,2621440,213713343,213713671
control4,1,640,9711,36.684893420,0,2621440,213713750,213714109
control4,2,640,9026,36.746288500,0,2621440,213714203,213714531
control4,3,640,8888,36.606435644,0,2621440,213714609,213714937
control4,4,640,10031,36.607317316,0,2621440,213715031,213715406
control4,5,640,8625,36.821681159,0,2621440,213715484,213715796
control4,6,640,8421,36.773423584,0,2621440,213715890,213716187
control4,7,640,7891,36.594094538,0,2621440,213716265,213716562
control8,0,640,8398,36.663729459,0,2621440,213716640,213716953
control8,1,640,7339,45.162283690,0,2621440,213717031,213717359
control8,2,640,7710,45.233592737,0,2621440,213717453,213717796
control8,3,640,9756,36.649241492,0,2621440,213717890,213718250
control8,4,640,9609,36.655323135,0,2621440,213718343,213718703
control8,5,640,7833,45.294906166,0,2621440,213718781,213719140
control8,6,640,8300,45.299036145,0,2621440,213719234,213719609
control8,7,640,9968,36.723414928,0,2621440,213719703,213720078
