variant,slot,tokens,launches,mean_us,output_diff,checked_bytes,start_ms,end_ms
work1,0,640,7142,35.458555027,0,2621440,213925343,213925593
work1,1,640,8091,36.137560252,0,2621440,213925671,213925968
work1,2,640,9696,35.773927393,0,2621440,213926062,213926406
work1,3,640,9425,35.907374005,0,2621440,213926484,213926828
work1,4,640,9523,36.005565473,0,2621440,213926921,213927265
work1,5,640,8476,35.840726758,0,2621440,213927343,213927640
work1,6,640,8499,35.831156607,0,2621440,213927718,213928031
work1,7,640,10031,36.031402652,0,2621440,213928125,213928484
work2,0,640,9696,36.042698020,0,2621440,213928578,213928921
work2,1,640,6043,60.858348502,0,2621440,213929015,213929390
work2,2,640,5953,60.774231480,0,2621440,213929484,213929843
work2,3,640,10289,36.149188454,0,2621440,213929937,213930312
work2,4,640,8636,36.145669291,0,2621440,213930390,213930703
work2,5,640,6250,60.640320000,0,2621440,213930796,213931171
work2,6,640,6530,60.569372129,0,2621440,213931281,213931671
work2,7,640,9682,36.174344144,0,2621440,213931765,213932109
work4,0,640,7729,36.284383491,0,2621440,213932187,213932468
work4,1,640,4772,81.390611903,0,2621440,213932578,213932968
work4,2,640,4674,81.313222080,0,2621440,213933062,213933437
work4,3,640,8465,36.376373302,0,2621440,213933515,213933828
work4,4,640,9696,36.336633663,0,2621440,213933921,213934265
work4,5,640,4548,81.217018470,0,2621440,213934375,213934734
work4,6,640,4637,81.311408238,0,2621440,213934843,213935218
work4,7,640,9481,36.401012551,0,2621440,213935296,213935656
work8,0,640,9169,36.384011343,0,2621440,213935734,213936078
work8,1,640,2799,143.719185423,0,2621440,213936187,213936578
work8,2,640,2804,143.140156919,0,2621440,213936687,213937093
work8,3,640,9288,36.473298880,0,2621440,213937171,213937515
work8,4,640,9907,36.438074089,0,2621440,213937609,213937968
work8,5,640,2871,143.678509230,0,2621440,213938078,213938500
work8,6,640,2890,143.571280277,0,2621440,213938609,213939015
work8,7,640,9653,36.419040713,0,2621440,213939109,213939453
control2,0,640,9397,36.423113760,0,2621440,213939546,213939890
control2,1,640,9439,36.466468906,0,2621440,213939984,213940328
control2,2,640,10031,36.473831124,0,2621440,213940421,213940781
control2,3,640,10047,36.474967652,0,2621440,213940875,213941250
control2,4,640,8226,36.456965718,0,2621440,213941328,213941625
control2,5,640,9384,36.505647911,0,2621440,213941718,213942062
control2,6,640,9481,36.518194283,0,2621440,213942140,213942484
control2,7,640,8767,36.498460135,0,2621440,213942578,213942890
control4,0,640,9638,36.545756381,0,2621440,213942984,213943343
control4,1,640,9667,36.593151960,0,2621440,213943437,213943781
control4,2,640,9397,36.565712461,0,2621440,213943875,213944218
control4,3,640,8876,36.619085174,0,2621440,213944296,213944625
control4,4,640,9370,36.632230523,0,2621440,213944718,213945062
control4,5,640,9682,36.645631068,0,2621440,213945156,213945500
control4,6,640,9711,36.615899495,0,2621440,213945593,213945953
control4,7,640,8695,36.614491087,0,2621440,213946031,213946359
control8,0,640,9667,36.651598221,0,2621440,213946437,213946796
control8,1,640,9275,36.662318059,0,2621440,213946890,213947234
control8,2,640,9770,36.675025589,0,2621440,213947312,213947671
control8,3,640,9624,36.649314214,0,2621440,213947765,213948125
control8,4,640,9481,36.673768590,0,2621440,213948218,213948562
control8,5,640,9552,36.750942211,0,2621440,213948656,213949000
control8,6,640,9756,36.786387864,0,2621440,213949093,213949453
control8,7,640,9800,36.735408163,0,2621440,213949546,213949906
