stage,slot,tiled,tokens,launches,mean_us,output_diff,checked_bytes,start_ms,end_ms
wide_row,0,0,640,2772,34.441558442,0,2621440,256914093,256914187
wide_row,1,1,640,9397,39.085559221,0,2621440,256914281,256914640
wide_row,2,1,640,8963,38.902599576,0,2621440,256914734,256915093
wide_row,3,0,640,9509,36.227363550,0,2621440,256915171,256915515
wide_row,4,0,640,9453,35.947318312,0,2621440,256915609,256915953
wide_row,5,1,640,9580,38.733298539,0,2621440,256916046,256916421
wide_row,6,1,640,7881,38.440045679,0,2621440,256916500,256916796
wide_row,7,0,640,9907,36.041889573,0,2621440,256916890,256917250
tall_row,0,0,640,8476,36.053798962,0,2621440,256917343,256917640
tall_row,1,1,640,9155,40.248498088,0,2621440,256917734,256918109
tall_row,2,1,640,9552,39.949539363,0,2621440,256918203,256918593
tall_row,3,0,640,9922,36.075791171,0,2621440,256918687,256919046
tall_row,4,0,640,10272,36.067075545,0,2621440,256919140,256919515
tall_row,5,1,640,8279,40.279139993,0,2621440,256919593,256919937
tall_row,6,1,640,9682,40.255732287,0,2621440,256920031,256920421
tall_row,7,0,640,8963,36.142920897,0,2621440,256920500,256920828
shape_row,0,0,640,9907,38.946805289,0,2621440,256920937,256921312
shape_row,1,1,640,7538,40.334438843,0,2621440,256921406,256921703
shape_row,2,1,640,9595,40.119228765,0,2621440,256921796,256922187
shape_row,3,0,640,7485,38.795858383,0,2621440,256922265,256922562
shape_row,4,0,640,9397,39.144833457,0,2621440,256922656,256923031
shape_row,5,1,640,8290,40.462605549,0,2621440,256923109,256923453
shape_row,6,1,640,9169,40.426109718,0,2621440,256923546,256923921
shape_row,7,0,640,9090,38.943014301,0,2621440,256924015,256924359
shape_tiled,0,0,640,9195,39.184013051,0,2621440,256924453,256924812
shape_tiled,1,1,640,7289,34.487035259,0,2621440,256924890,256925140
shape_tiled,2,1,640,10289,34.633006123,0,2621440,256925234,256925593
shape_tiled,3,0,640,9169,39.081688298,0,2621440,256925687,256926046
shape_tiled,4,0,640,10015,39.228057913,0,2621440,256926140,256926531
shape_tiled,5,1,640,10491,33.264512439,0,2621440,256926625,256926984
shape_tiled,6,1,640,9288,32.833979328,0,2621440,256927062,256927375
shape_tiled,7,0,640,9481,37.097036178,0,2621440,256927468,256927812
layout_wide,0,0,640,9552,37.435824958,0,2621440,256927906,256928265
layout_wide,1,1,640,9315,36.790660225,0,2621440,256928359,256928703
layout_wide,2,1,640,8636,36.865562761,0,2621440,256928781,256929109
layout_wide,3,0,640,9221,37.320681054,0,2621440,256929203,256929546
layout_wide,4,0,640,9756,37.383148831,0,2621440,256929640,256930000
layout_wide,5,1,640,8409,36.946485908,0,2621440,256930078,256930390
layout_wide,6,1,640,9302,36.856804988,0,2621440,256930484,256930828
layout_wide,7,0,640,8290,37.345597105,0,2621440,256930921,256931218
layout_tall,0,0,640,9696,38.603650990,0,2621440,256931328,256931703
layout_tall,1,1,640,10158,32.794939949,0,2621440,256931781,256932125
layout_tall,2,1,640,10240,32.744824219,0,2621440,256932203,256932546
layout_tall,3,0,640,9315,38.661513688,0,2621440,256932640,256933000
layout_tall,4,0,640,9726,38.650730002,0,2621440,256933093,256933468
layout_tall,5,1,640,10526,32.728671860,0,2621440,256933562,256933906
layout_tall,6,1,640,9846,32.725675401,0,2621440,256934000,256934312
layout_tall,7,0,640,9711,38.617341160,0,2621440,256934421,256934796
pair_wide,0,0,640,7990,39.721276596,0,2621440,256934875,256935187
pair_wide,1,1,640,8268,41.067972908,0,2621440,256935281,256935625
pair_wide,2,1,640,8040,41.125497512,0,2621440,256935718,256936046
pair_wide,3,0,640,7970,39.742032622,0,2621440,256936125,256936437
pair_wide,4,0,640,8499,39.762677962,0,2621440,256936531,256936875
pair_wide,5,1,640,8695,41.040138010,0,2621440,256936968,256937328
pair_wide,6,1,640,8613,41.141994659,0,2621440,256937421,256937765
pair_wide,7,0,640,8636,39.824339972,0,2621440,256937859,256938203
pair_tall,0,0,640,9208,39.804517811,0,2621440,256938296,256938671
pair_tall,1,1,640,9129,37.107788367,0,2621440,256938765,256939093
pair_tall,2,1,640,9411,36.245457443,0,2621440,256939187,256939531
pair_tall,3,0,640,8852,39.916064166,0,2621440,256939625,256939984
pair_tall,4,0,640,8938,39.842582233,0,2621440,256940078,256940437
pair_tall,5,1,640,9302,36.766824339,0,2621440,256940515,256940859
pair_tall,6,1,640,9208,36.314074718,0,2621440,256940953,256941296
pair_tall,7,0,640,7619,39.901955637,0,2621440,256941375,256941671
