variant,slot,mode,frames,mean_ms,bitdiff,replacements,start_ms,end_ms
1,0,0,200,17.820505000,0,0,257320640,257324203
1,1,1,200,17.854805000,0,3200,257324937,257328500
1,2,1,200,17.894060000,0,3200,257329218,257332812
1,3,0,200,17.926775000,0,0,257333531,257337109
1,4,0,200,17.916040000,0,0,257337843,257341421
1,5,1,200,17.931065000,0,3200,257342140,257345734
1,6,1,200,17.957595000,0,3200,257346453,257350046
1,7,0,200,17.974090000,0,0,257350781,257354375
2,0,0,200,17.998885000,0,0,257355093,257358703
2,1,2,200,17.996710000,0,3200,257359421,257363031
2,2,2,200,18.017105000,0,3200,257363750,257367359
2,3,0,200,18.056250000,0,0,257368093,257371703
2,4,0,200,18.052225000,0,0,257372437,257376046
2,5,2,200,18.033710000,0,3200,257376765,257380375
2,6,2,200,18.056695000,0,3200,257381109,257384718
2,7,0,200,18.062320000,0,0,257385453,257389062
