stage,slot,tiled,tokens,launches,mean_us,output_diff,checked_bytes,start_ms,end_ms
wide_row_u2,0,0,640,8344,39.895613615,0,2621440,257167921,257168250
wide_row_u2,1,1,640,8432,43.785222960,0,2621440,257168343,257168718
wide_row_u2,2,1,640,8648,43.284690102,0,2621440,257168812,257169187
wide_row_u2,3,0,640,9356,38.609769132,0,2621440,257169281,257169640
wide_row_u2,4,0,640,9329,38.687319112,0,2621440,257169734,257170093
wide_row_u2,5,1,640,8567,43.615618069,0,2621440,257170187,257170562
wide_row_u2,6,1,640,8533,43.308918317,0,2621440,257170671,257171031
wide_row_u2,7,0,640,8951,38.810077086,0,2621440,257171125,257171468
wide_tile_u2,0,0,640,8951,38.553681153,0,2621440,257171562,257171906
wide_tile_u2,1,1,640,9169,40.501472352,0,2621440,257172015,257172375
wide_tile_u2,2,1,640,8409,40.389582590,0,2621440,257172468,257172812
wide_tile_u2,3,0,640,8205,38.740158440,0,2621440,257172890,257173218
wide_tile_u2,4,0,640,9397,38.803979994,0,2621440,257173312,257173671
wide_tile_u2,5,1,640,8142,40.522967330,0,2621440,257173765,257174093
wide_tile_u2,6,1,640,9155,40.620972146,0,2621440,257174187,257174562
wide_tile_u2,7,0,640,8567,38.865297070,0,2621440,257174656,257174984
tall_row_u2,0,0,640,9509,40.342202124,0,2621440,257175078,257175468
tall_row_u2,1,1,640,10062,37.827270920,0,2621440,257175562,257175953
tall_row_u2,2,1,640,9785,37.704241185,0,2621440,257176046,257176421
tall_row_u2,3,0,640,9302,40.365190282,0,2621440,257176515,257176890
tall_row_u2,4,0,640,8864,40.259138087,0,2621440,257176984,257177343
tall_row_u2,5,1,640,9624,36.151288446,0,2621440,257177437,257177781
tall_row_u2,6,1,640,9876,36.178614824,0,2621440,257177875,257178234
tall_row_u2,7,0,640,9552,38.579355109,0,2621440,257178328,257178703
tall_tile_u2,0,0,640,10355,32.781651376,0,2621440,257178781,257179125
tall_tile_u2,1,1,640,10810,33.248843663,0,2621440,257179218,257179578
tall_tile_u2,2,1,640,9182,33.218144195,0,2621440,257179656,257179968
tall_tile_u2,3,0,640,10207,32.713138043,0,2621440,257180062,257180390
tall_tile_u2,4,0,640,10666,32.698949934,0,2621440,257180484,257180828
tall_tile_u2,5,1,640,9770,33.223848516,0,2621440,257180921,257181250
tall_tile_u2,6,1,640,10526,33.235797074,0,2621440,257181343,257181687
tall_tile_u2,7,0,640,10389,32.706323997,0,2621440,257181781,257182125
pair_u2,0,0,640,9208,39.490008688,0,2621440,257182218,257182578
pair_u2,1,1,640,9235,35.545533297,0,2621440,257182671,257183000
pair_u2,2,1,640,9425,35.459522546,0,2621440,257183093,257183421
pair_u2,3,0,640,8888,39.474122412,0,2621440,257183515,257183859
pair_u2,4,0,640,8333,39.628345134,0,2621440,257183953,257184281
pair_u2,5,1,640,9411,35.604717883,0,2621440,257184375,257184703
pair_u2,6,1,640,9235,35.542393070,0,2621440,257184796,257185125
pair_u2,7,0,640,8876,39.657954033,0,2621440,257185218,257185578
