variant,slot,tokens,launches,mean_us,output_diff,raw_diff,checked_bytes
raw,0,640,2787,55.487262289,0,0,2621440
raw,1,640,3238,56.945954293,0,0,2621440
raw,2,640,3184,56.951947236,0,0,2621440
raw,3,640,3225,57.437209302,0,0,2621440
raw,4,640,3053,57.164755978,0,0,2621440
raw,5,640,3155,57.047226624,0,0,2621440
raw,6,640,3242,57.045650833,0,0,2621440
raw,7,640,3030,57.555775578,0,0,2621440
act,0,640,3255,57.287864823,0,0,2621440
act,1,640,3255,56.796313364,0,0,2621440
act,2,640,3193,56.941747573,0,0,2621440
act,3,640,3258,57.375997545,0,0,2621440
act,4,640,2909,57.392918529,0,0,2621440
act,5,640,2821,56.830556540,0,0,2621440
act,6,640,3171,56.983916746,0,0,2621440
act,7,640,3134,57.484045948,0,0,2621440
split,0,640,3252,57.451722017,0,0,2621440
split,1,640,2233,70.683385580,0,0,2621440
split,2,640,2614,70.770849273,0,0,2621440
split,3,640,3033,57.439169139,0,0,2621440
split,4,640,2867,57.417509592,0,0,2621440
split,5,640,2272,70.749559859,0,0,2621440
split,6,640,2599,70.769526741,0,0,2621440
split,7,640,3121,57.427747517,0,0,2621440
