variant,slot,tokens,launches,mean_us,output_diff,raw_diff,checked_bytes
raw,0,400,5765,24.199132697,0,0,1638400
raw,1,400,6504,24.565344403,0,0,1638400
raw,2,400,6926,24.779670806,0,0,1638400
raw,3,400,6694,25.194054377,0,0,1638400
raw,4,400,6336,24.991635101,0,0,1638400
raw,5,400,6808,24.512925969,0,0,1638400
raw,6,400,6986,24.716719153,0,0,1638400
raw,7,400,6866,25.250218468,0,0,1638400
split,0,400,6971,24.771481853,0,0,1638400
split,1,400,6037,28.059466622,0,0,1638400
split,2,400,6213,27.743441172,0,0,1638400
split,3,400,6118,25.135665250,0,0,1638400
split,4,400,6956,25.265238643,0,0,1638400
split,5,400,6003,27.759287023,0,0,1638400
split,6,400,6250,28.079840000,0,0,1638400
split,7,400,7174,25.173403959,0,0,1638400
