variant,slot,tokens,launches,mean_us,output_diff,checked_bytes,start_ms,end_ms
u1,0,640,2219,35.481297882,0,2621440,209748234,209748312
u1,1,640,3340,54.047904192,0,2621440,209748375,209748546
u1,2,640,3288,54.612226277,0,2621440,209748593,209748781
u1,3,640,4591,36.921367894,0,2621440,209748828,209748984
u1,4,640,4754,36.732646193,0,2621440,209749031,209749218
u1,5,640,3180,54.519496855,0,2621440,209749265,209749437
u1,6,640,3322,54.556291391,0,2621440,209749484,209749656
u1,7,640,4624,36.643598616,0,2621440,209749703,209749875
u2,0,640,4532,36.770962048,0,2621440,209749921,209750093
u2,1,640,4371,40.894074582,0,2621440,209750140,209750312
u2,2,640,4336,40.935885609,0,2621440,209750359,209750546
u2,3,640,4870,36.528542094,0,2621440,209750593,209750765
u2,4,640,4769,36.549800797,0,2621440,209750812,209750984
u2,5,640,4347,40.984357028,0,2621440,209751031,209751218
u2,6,640,4341,40.991706980,0,2621440,209751265,209751437
u2,7,640,4833,36.583695427,0,2621440,209751484,209751656
u4,0,640,4968,36.499396135,0,2621440,209751703,209751890
u4,1,640,4900,36.243469388,0,2621440,209751937,209752109
u4,2,640,4976,36.179662379,0,2621440,209752156,209752343
u4,3,640,4968,36.297101449,0,2621440,209752390,209752578
u4,4,640,4984,36.474719101,0,2621440,209752625,209752796
u4,5,640,4776,36.075586265,0,2621440,209752843,209753015
u4,6,640,4945,36.042669363,0,2621440,209753062,209753250
u4,7,640,4644,36.271102498,0,2621440,209753296,209753453
u8,0,640,4812,36.395261845,0,2621440,209753515,209753687
u8,1,640,4698,37.658790975,0,2621440,209753734,209753906
u8,2,640,4733,37.680540883,0,2621440,209753953,209754140
u8,3,640,3832,36.387265136,0,2621440,209754171,209754312
u8,4,640,4938,36.395099230,0,2621440,209754359,209754531
u8,5,640,4657,37.647197767,0,2621440,209754578,209754765
u8,6,640,4733,37.748785126,0,2621440,209754812,209754984
u8,7,640,4863,36.367263006,0,2621440,209755031,209755203
u16,0,640,4754,36.400925536,0,2621440,209755250,209755421
u16,1,640,4992,37.466145833,0,2621440,209755484,209755671
u16,2,640,5055,37.662314540,0,2621440,209755718,209755906
u16,3,640,4610,36.521475054,0,2621440,209755953,209756125
u16,4,640,4945,36.524772497,0,2621440,209756171,209756343
u16,5,640,5152,37.777950311,0,2621440,209756390,209756593
u16,6,640,4878,36.960639606,0,2621440,209756640,209756812
u16,7,640,4139,36.509784972,0,2621440,209756859,209757015
group4,0,640,4819,36.542643702,0,2621440,209757062,209757234
group4,1,640,4870,36.605954825,0,2621440,209757281,209757468
group4,2,640,5071,36.217116939,0,2621440,209757515,209757687
group4,3,640,4907,36.572855105,0,2621440,209757734,209757921
group4,4,640,4804,36.549750208,0,2621440,209757968,209758140
group4,5,640,4863,35.901295497,0,2621440,209758187,209758359
group4,6,640,4283,36.268736867,0,2621440,209758406,209758562
group4,7,640,4841,36.599462921,0,2621440,209758609,209758781
group8,0,640,4733,36.609127403,0,2621440,209758828,209759000
group8,1,640,4107,38.222303384,0,2621440,209759046,209759203
group8,2,640,5186,38.220786734,0,2621440,209759250,209759453
group8,3,640,4610,36.585249458,0,2621440,209759500,209759671
group8,4,640,4617,36.574182370,0,2621440,209759718,209759875
group8,5,640,4968,38.659017713,0,2621440,209759937,209760125
group8,6,640,5023,38.306987856,0,2621440,209760171,209760359
group8,7,640,5039,36.593371701,0,2621440,209760421,209760593
nmajor,0,640,4754,36.584981069,0,2621440,209760640,209760812
nmajor,1,640,4283,40.730562690,0,2621440,209760859,209761046
nmajor,2,640,4419,40.760805612,0,2621440,209761093,209761265
nmajor,3,640,4961,36.613585971,0,2621440,209761312,209761500
nmajor,4,640,4915,36.633570702,0,2621440,209761546,209761718
nmajor,5,640,4199,40.773041200,0,2621440,209761765,209761937
nmajor,6,640,4336,40.790129151,0,2621440,209761984,209762171
nmajor,7,640,4312,36.622217069,0,2621440,209762203,209762375
token_fixed,0,640,4930,36.693509128,0,2621440,209762421,209762593
token_fixed,1,640,4907,36.270429998,0,2621440,209762640,209762828
token_fixed,2,640,4938,36.253341434,0,2621440,209762875,209763046
token_fixed,3,640,4945,36.622649141,0,2621440,209763093,209763281
token_fixed,4,640,4885,36.659774821,0,2621440,209763328,209763500
token_fixed,5,640,4657,36.337985828,0,2621440,209763546,209763718
token_fixed,6,640,4855,36.293511843,0,2621440,209763765,209763937
token_fixed,7,640,4878,36.679581796,0,2621440,209763984,209764171
m2,0,640,4624,36.692474048,0,2621440,209764218,209764390
m2,1,640,4255,39.974148061,0,2621440,209764437,209764593
m2,2,640,4754,40.613798906,0,2621440,209764656,209764843
m2,3,640,4923,36.760105627,0,2621440,209764890,209765078
m2,4,640,4685,36.728068303,0,2621440,209765125,209765296
m2,5,640,3995,40.089612015,0,2621440,209765328,209765500
m2,6,640,4848,40.494430693,0,2621440,209765546,209765734
m2,7,640,4193,36.887192941,0,2621440,209765781,209765937
