warp=32 MPs=32 maxThreadsPerMP=2048 sharedPerMP=65536
kernel=vit_expand_blocked_fp8_frag_bytein threads=32 blocks_per_MP=64 waves_bound=64
kernel=probe_u1 threads=32 blocks_per_MP=64 waves_bound=64
kernel=probe_u2 threads=32 blocks_per_MP=64 waves_bound=64
kernel=probe_u4 threads=32 blocks_per_MP=64 waves_bound=64
kernel=probe_u8 threads=32 blocks_per_MP=64 waves_bound=64
kernel=probe_u16 threads=32 blocks_per_MP=56 waves_bound=56
kernel=probe_group4 threads=128 blocks_per_MP=16 waves_bound=64
kernel=probe_group8 threads=256 blocks_per_MP=8 waves_bound=64
kernel=probe_nmajor threads=32 blocks_per_MP=64 waves_bound=64
kernel=probe_token_fixed threads=32 blocks_per_MP=64 waves_bound=64
kernel=probe_m2 threads=32 blocks_per_MP=64 waves_bound=64
