repeat,candidate,slot,mode,frames,ms,expand_calls,pdl_calls
0,1,0,0,160,16.675556250,1280,11880
0,1,1,1,160,16.721800000,1280,23760
0,1,2,1,160,16.712731250,1280,35640
0,1,3,0,160,16.686912500,1280,47520
0,2,0,0,160,16.720850000,1280,59400
0,2,1,2,160,16.713175000,1280,71280
0,2,2,2,160,16.726168750,1280,83160
0,2,3,0,160,16.736468750,1280,95040
0,3,0,0,160,16.736006250,1280,106920
0,3,1,3,160,16.734643750,1280,118800
0,3,2,3,160,16.740900000,1280,130680
0,3,3,0,160,16.732093750,1280,142560
0,4,0,0,160,16.737987500,1280,154440
0,4,1,4,160,16.739718750,1280,166320
0,4,2,4,160,16.783987500,1280,178200
0,4,3,0,160,16.764075000,1280,190080
1,1,0,0,160,16.738050000,1280,201960
1,1,1,1,160,16.734293750,1280,213840
1,1,2,1,160,16.731100000,1280,225720
1,1,3,0,160,16.732712500,1280,237600
1,2,0,0,160,16.741562500,1280,249480
1,2,1,2,160,16.750087500,1280,261360
1,2,2,2,160,16.737556250,1280,273240
1,2,3,0,160,16.755325000,1280,285120
1,3,0,0,160,16.738637500,1280,297000
1,3,1,3,160,16.752906250,1280,308880
1,3,2,3,160,16.744537500,1280,320760
1,3,3,0,160,16.735543750,1280,332640
1,4,0,0,160,16.773537500,1280,344520
1,4,1,4,160,16.803162500,1280,356400
1,4,2,4,160,16.758706250,1280,368280
1,4,3,0,160,16.789225000,1280,380160
2,1,0,0,160,16.741362500,1280,392040
2,1,1,1,160,16.770225000,1280,403920
2,1,2,1,160,16.754793750,1280,415800
2,1,3,0,160,16.763768750,1280,427680
2,2,0,0,160,16.767137500,1280,439560
2,2,1,2,160,16.766968750,1280,451440
2,2,2,2,160,16.772318750,1280,463320
2,2,3,0,160,16.745206250,1280,475200
2,3,0,0,160,16.743550000,1280,487080
2,3,1,3,160,16.765412500,1280,498960
2,3,2,3,160,16.775312500,1280,510840
2,3,3,0,160,16.750275000,1280,522720
2,4,0,0,160,16.748200000,1280,534600
2,4,1,4,160,16.758193750,1280,546480
2,4,2,4,160,16.759637500,1280,558360
2,4,3,0,160,16.746593750,1280,570240
