repeat,candidate,slot,mode,frames,ms,target_calls,pdl_calls
0,1,0,0,160,16.697043750,2560,11880
0,1,1,1,160,16.700406250,2560,23760
0,1,2,1,160,16.705618750,2560,35640
0,1,3,0,160,16.717187500,2560,47520
0,5,0,0,160,16.709331250,2560,59400
0,5,1,5,160,16.716743750,2560,71280
0,5,2,5,160,16.721150000,2560,83160
0,5,3,0,160,16.708625000,2560,95040
0,6,0,0,160,16.722343750,2560,106920
0,6,1,6,160,16.729906250,2560,118800
0,6,2,6,160,16.715750000,2560,130680
0,6,3,0,160,16.713850000,2560,142560
0,7,0,0,160,16.727250000,2560,154440
0,7,1,7,160,16.753031250,2560,166320
0,7,2,7,160,16.750475000,2560,178200
0,7,3,0,160,16.731731250,2560,190080
1,1,0,0,160,16.745518750,2560,201960
1,1,1,1,160,16.750662500,2560,213840
1,1,2,1,160,16.761681250,2560,225720
1,1,3,0,160,16.753218750,2560,237600
1,5,0,0,160,16.755218750,2560,249480
1,5,1,5,160,16.745481250,2560,261360
1,5,2,5,160,16.741543750,2560,273240
1,5,3,0,160,16.747112500,2560,285120
1,6,0,0,160,16.752700000,2560,297000
1,6,1,6,160,16.760600000,2560,308880
1,6,2,6,160,16.767337500,2560,320760
1,6,3,0,160,16.770768750,2560,332640
1,7,0,0,160,16.763818750,2560,344520
1,7,1,7,160,16.781118750,2560,356400
1,7,2,7,160,16.809737500,2560,368280
1,7,3,0,160,16.776387500,2560,380160
2,1,0,0,160,16.755287500,2560,392040
2,1,1,1,160,16.761375000,2560,403920
2,1,2,1,160,16.753225000,2560,415800
2,1,3,0,160,16.739368750,2560,427680
2,5,0,0,160,16.750225000,2560,439560
2,5,1,5,160,16.763200000,2560,451440
2,5,2,5,160,16.755112500,2560,463320
2,5,3,0,160,16.761225000,2560,475200
2,6,0,0,160,16.753300000,2560,487080
2,6,1,6,160,16.753993750,2560,498960
2,6,2,6,160,16.765818750,2560,510840
2,6,3,0,160,16.757631250,2560,522720
2,7,0,0,160,16.758381250,2560,534600
2,7,1,7,160,16.773731250,2560,546480
2,7,2,7,160,16.772493750,2560,558360
2,7,3,0,160,16.766893750,2560,570240
