slot,mode,phase,frames,wall_ms,bitdiff,replacements,start_tick,end_tick
0,0,0,80,12.712175000,0,0,259618687,259619703
0,0,1,80,12.726625000,0,0,259620531,259621546
1,1,0,80,12.735512500,0,1280,259621937,259622953
1,1,1,80,12.741112500,0,1280,259623781,259624796
2,1,0,80,12.744175000,0,1280,259625187,259626203
2,1,1,80,12.743100000,0,1280,259627031,259628046
3,0,0,80,12.750037500,0,0,259628437,259629453
3,0,1,80,12.755200000,0,0,259630281,259631312
4,0,0,80,12.791900000,0,0,259631687,259632718
4,0,1,80,12.773175000,0,0,259633546,259634562
5,1,0,80,12.786750000,0,1280,259634953,259635984
5,1,1,80,12.761750000,0,1280,259636812,259637828
6,1,0,80,12.785712500,0,1280,259638218,259639234
6,1,1,80,12.774912500,0,1280,259640062,259641093
7,0,0,80,12.791600000,0,0,259641484,259642500
7,0,1,80,12.820437500,0,0,259643328,259644359
