slot,mode,round,edge,after,start_tick,end_tick,prefix_ms,whole_ms,tail_ms,wall_ms,valid
0,0,0,0,0,259619703,259619718,5.491300106,12.042699814,6.551400185,12.350000000,1
0,0,0,1,1,259619718,259619734,5.733220100,12.244500160,6.511280060,12.401000000,1
0,0,0,2,1,259619734,259619750,5.801919937,12.372980118,6.571060181,12.520000000,1
0,0,0,3,0,259619750,259619750,5.729899883,12.468400002,6.738500118,12.614000000,1
0,0,1,0,0,259619750,259619765,5.763899803,12.568900108,6.804999828,12.699000000,1
0,0,1,1,1,259619765,259619781,5.925720215,12.598239899,6.672520161,12.740000000,1
0,0,1,2,1,259619781,259619796,5.838260174,12.606559753,6.768300056,12.754000000,1
0,0,1,3,0,259619796,259619812,5.806719780,12.596420288,6.789700031,12.740000000,1
0,0,2,0,0,259619812,259619812,5.774079800,12.524580002,6.750500202,12.658000000,1
0,0,2,1,1,259619812,259619828,5.829840183,12.559439659,6.729599953,12.686000000,1
0,0,2,2,1,259619828,259619843,5.881639957,12.541939735,6.660299778,12.676000000,1
0,0,2,3,0,259619843,259619859,5.789599895,12.639699936,6.850100040,12.808000000,1
0,0,3,0,0,259619859,259619875,5.809199810,12.554599762,6.745399952,12.692000000,1
0,0,3,1,1,259619875,259619875,5.863059998,12.576060295,6.712999821,12.710000000,1
0,0,3,2,1,259619875,259619890,5.838300228,12.589400291,6.751100063,12.728000000,1
0,0,3,3,0,259619890,259619906,5.744579792,12.536879539,6.792300224,12.676000000,1
0,0,4,0,0,259619906,259619921,5.822639942,12.504079819,6.681439877,12.654000000,1
0,0,4,1,1,259619921,259619937,5.846000195,12.574700356,6.728700161,12.727000000,1
0,0,4,2,1,259619937,259619953,5.834680080,12.569379807,6.734700203,12.728000000,1
0,0,4,3,0,259619953,259619953,5.774879932,12.509880066,6.735000134,12.655000000,1
0,0,5,0,0,259619953,259619968,5.763840199,12.561739922,6.797900200,12.695000000,1
0,0,5,1,1,259619968,259619984,5.821819782,12.555419922,6.733600140,12.687000000,1
0,0,5,2,1,259619984,259620000,5.850080013,12.599679947,6.749599934,12.735000000,1
0,0,5,3,0,259620000,259620015,5.749899864,12.523799896,6.773900032,12.663000000,1
0,0,6,0,0,259620015,259620015,5.790019989,12.594820023,6.804800034,12.735000000,1
0,0,6,1,1,259620015,259620031,5.847919941,12.593119621,6.745200157,12.725000000,1
0,0,6,2,1,259620031,259620046,5.799580097,12.584280014,6.784699917,12.772000000,1
0,0,6,3,0,259620046,259620062,5.680439949,12.459739685,6.779300213,12.671000000,1
0,0,7,0,0,259620062,259620078,5.861460209,12.657759666,6.796299934,12.763000000,1
0,0,7,1,1,259620078,259620078,5.815020084,12.542119980,6.727099895,12.677000000,1
0,0,7,2,1,259620078,259620093,5.915239811,12.613719940,6.698480129,12.744000000,1
0,0,7,3,0,259620093,259620109,5.695380211,12.484780312,6.789400101,12.628000000,1
0,0,8,0,0,259620109,259620125,5.779620171,12.602519989,6.822899818,12.738000000,1
0,0,8,1,1,259620125,259620140,5.897480011,12.565580368,6.668099880,12.699000000,1
0,0,8,2,1,259620140,259620156,5.837840080,12.557840347,6.719999790,12.694000000,1
0,0,8,3,0,259620156,259620156,5.768380165,12.575779915,6.807400227,12.719000000,1
0,0,9,0,0,259620156,259620171,5.791180134,12.542300224,6.751120090,12.681000000,1
0,0,9,1,1,259620171,259620187,5.906720161,12.583840370,6.677120209,12.714000000,1
0,0,9,2,1,259620187,259620203,5.855380058,12.692999840,6.837619781,12.818000000,1
0,0,9,3,0,259620203,259620218,5.678579807,12.442179680,6.763599873,12.646000000,1
0,0,10,0,0,259620218,259620218,5.771979809,12.511380196,6.739399910,12.620000000,1
0,0,10,1,1,259620218,259620234,5.803140163,12.567339897,6.764200211,12.713000000,1
0,0,10,2,1,259620234,259620250,5.843200207,12.534899712,6.691699982,12.676000000,1
0,0,10,3,0,259620250,259620265,5.730400085,12.542099953,6.811699867,12.673000000,1
0,0,11,0,0,259620265,259620281,5.751760006,12.539859772,6.788099766,12.677000000,1
0,0,11,1,1,259620281,259620281,5.874199867,12.602600098,6.728400230,12.748000000,1
0,0,11,2,1,259620281,259620296,5.860000134,12.580340385,6.720339775,12.724000000,1
0,0,11,3,0,259620296,259620312,5.768819809,12.533320427,6.764500141,12.681000000,1
0,0,12,0,0,259620312,259620328,5.810180187,12.611080170,6.800899982,12.752000000,1
0,0,12,1,1,259620328,259620343,5.847620010,12.614720345,6.767099857,12.754000000,1
0,0,12,2,1,259620343,259620359,5.871160030,12.572979927,6.701819897,12.709000000,1
0,0,12,3,0,259620359,259620359,5.831459999,12.579059601,6.747600079,12.693000000,1
0,0,13,0,0,259620359,259620375,5.802279949,12.587779999,6.785500050,12.729000000,1
0,0,13,1,1,259620375,259620390,5.883619785,12.546520233,6.662899971,12.680000000,1
0,0,13,2,1,259620390,259620406,5.826119900,12.553919792,6.727799892,12.681000000,1
0,0,13,3,0,259620406,259620421,5.806620121,12.572319984,6.765699863,12.711000000,1
0,0,14,0,0,259620421,259620421,5.762159824,12.531459808,6.769299984,12.665000000,1
0,0,14,1,1,259620421,259620437,5.875360012,12.604060173,6.728700161,12.720000000,1
0,0,14,2,1,259620437,259620453,5.874740124,12.581640244,6.706900120,12.711000000,1
0,0,14,3,0,259620453,259620468,5.778600216,12.589400291,6.810800076,12.687000000,1
0,0,15,0,0,259620468,259620484,5.775979996,12.582180023,6.806200027,12.714000000,1
0,0,15,1,1,259620484,259620500,5.884739876,12.640439987,6.755700111,12.776000000,1
0,0,15,2,1,259620500,259620500,5.944320202,12.621459961,6.677140236,12.739000000,1
0,0,15,3,0,259620500,259620515,5.820139885,12.618740082,6.798600197,12.775000000,1
1,1,0,0,0,259622953,259622968,5.614480019,12.200579643,6.586100101,12.427000000,1
1,1,0,1,1,259622968,259622984,5.719900131,12.227020264,6.507120132,12.385000000,1
1,1,0,2,1,259622984,259623000,5.688280106,12.300279617,6.611999989,12.490000000,1
1,1,0,3,0,259623000,259623000,5.740479946,12.463680267,6.723199844,12.608000000,1
1,1,1,0,0,259623000,259623015,5.782619953,12.584119797,6.801499844,12.709000000,1
1,1,1,1,1,259623015,259623031,5.834539890,12.614239693,6.779699802,12.761000000,1
1,1,1,2,1,259623031,259623046,5.853199959,12.585300446,6.732100010,12.715000000,1
1,1,1,3,0,259623046,259623062,5.787720203,12.574520111,6.786799908,12.727000000,1
1,1,2,0,0,259623062,259623062,5.790140152,12.547539711,6.757400036,12.683000000,1
1,1,2,1,1,259623062,259623078,5.854660034,12.580160141,6.725500107,12.716000000,1
1,1,2,2,1,259623078,259623093,5.847780228,12.607780457,6.760000229,12.738000000,1
1,1,2,3,0,259623093,259623109,5.788899899,12.549900055,6.761000156,12.702000000,1
1,1,3,0,0,259623109,259623125,5.807960033,12.577759743,6.769800186,12.719000000,1
1,1,3,1,1,259623125,259623125,5.888840199,12.658639908,6.769800186,12.780000000,1
1,1,3,2,1,259623125,259623140,5.759679794,12.512579918,6.752900124,12.659000000,1
1,1,3,3,0,259623140,259623156,5.808919907,12.560119629,6.751200199,12.698000000,1
1,1,4,0,0,259623156,259623171,5.756760120,12.549260139,6.792500019,12.694000000,1
1,1,4,1,1,259623171,259623187,5.862780094,12.549380302,6.686600208,12.693000000,1
1,1,4,2,1,259623187,259623203,5.896860123,12.639659882,6.742800236,12.756000000,1
1,1,4,3,0,259623203,259623203,5.800899982,12.564100266,6.763199806,12.699000000,1
1,1,5,0,0,259623203,259623218,5.765659809,12.566559792,6.800899982,12.712000000,1
1,1,5,1,1,259623218,259623234,5.829259872,12.587059975,6.757800102,12.718000000,1
1,1,5,2,1,259623234,259623250,5.848700047,12.589799881,6.741099834,12.732000000,1
1,1,5,3,0,259623250,259623265,5.791079998,12.587579727,6.796500206,12.736000000,1
1,1,6,0,0,259623265,259623265,5.775939941,12.521739960,6.745800018,12.668000000,1
1,1,6,1,1,259623265,259623281,5.829820156,12.599619865,6.769800186,12.730000000,1
1,1,6,2,1,259623281,259623296,5.832260132,12.573260307,6.741000175,12.713000000,1
1,1,6,3,0,259623296,259623312,5.799419880,12.585120201,6.785699844,12.743000000,1
1,1,7,0,0,259623312,259623328,5.798940182,12.562939644,6.763999939,12.709000000,1
1,1,7,1,1,259623328,259623343,5.859059811,12.638059616,6.778999805,12.768000000,1
1,1,7,2,1,259623343,259623343,5.831299782,12.566499710,6.735199928,12.762000000,1
1,1,7,3,0,259623343,259623359,5.808539867,12.582940102,6.774400234,12.723000000,1
1,1,8,0,0,259623359,259623375,5.794680119,12.548480034,6.753799915,12.693000000,1
1,1,8,1,1,259623375,259623390,5.792240143,12.525039673,6.732800007,12.696000000,1
1,1,8,2,1,259623390,259623406,5.810659885,12.591560364,6.780900002,12.745000000,1
1,1,8,3,0,259623406,259623406,5.781700134,12.526700020,6.744999886,12.657000000,1
1,1,9,0,0,259623406,259623421,5.787580013,12.533100128,6.745520115,12.666000000,1
1,1,9,1,1,259623421,259623437,5.794000149,12.494099617,6.700099945,12.638000000,1
1,1,9,2,1,259623437,259623453,5.781740189,12.551440239,6.769700050,12.690000000,1
1,1,9,3,0,259623453,259623468,5.782599926,12.538900375,6.756299973,12.680000000,1
1,1,10,0,0,259623468,259623468,5.759280205,12.520279884,6.761000156,12.654000000,1
1,1,10,1,1,259623468,259623484,5.817200184,12.611399651,6.794199944,12.744000000,1
1,1,10,2,1,259623484,259623500,5.888160229,12.534899712,6.646739960,12.662000000,1
1,1,10,3,0,259623500,259623515,5.728240013,12.512539864,6.784299850,12.659000000,1
1,1,11,0,0,259623515,259623531,5.761159897,12.552359581,6.791200161,12.688000000,1
1,1,11,1,1,259623531,259623546,5.843939781,12.552539825,6.708600044,12.684000000,1
1,1,11,2,1,259623546,259623546,5.785500050,12.538900375,6.753399849,12.696000000,1
1,1,11,3,0,259623546,259623562,5.770199776,12.571399689,6.801199913,12.694000000,1
1,1,12,0,0,259623562,259623578,5.760499954,12.498000145,6.737500191,12.644000000,1
1,1,12,1,1,259623578,259623593,5.841320038,12.574119568,6.732800007,12.713000000,1
1,1,12,2,1,259623593,259623609,5.845240116,12.571100235,6.725860119,12.728000000,1
1,1,12,3,0,259623609,259623609,5.793119907,12.601619720,6.808499813,12.732000000,1
1,1,13,0,0,259623609,259623625,5.764999866,12.540200233,6.775199890,12.664000000,1
1,1,13,1,1,259623625,259623640,5.803719997,12.505120277,6.701399803,12.640000000,1
1,1,13,2,1,259623640,259623656,5.802040100,12.580340385,6.778299809,12.712000000,1
1,1,13,3,0,259623656,259623671,5.737860203,12.537960052,6.800099850,12.675000000,1
1,1,14,0,0,259623671,259623671,5.831860065,12.558259964,6.726399899,12.673000000,1
1,1,14,1,1,259623671,259623687,5.962920189,12.718520164,6.755599976,12.802000000,1
1,1,14,2,1,259623687,259623703,5.925380230,12.604740143,6.679359913,12.732000000,1
1,1,14,3,0,259623703,259623718,5.863239765,12.646240234,6.782999992,12.788000000,1
1,1,15,0,0,259623718,259623734,5.838479996,12.594479561,6.756000042,12.733000000,1
1,1,15,1,1,259623734,259623750,5.810840130,12.610939980,6.800099850,12.760000000,1
1,1,15,2,1,259623750,259623750,5.706540108,12.407019615,6.700479984,12.684000000,1
1,1,15,3,0,259623750,259623765,5.742619991,12.503520012,6.760900021,12.662000000,1
2,1,0,0,0,259626203,259626218,5.559120178,12.100819588,6.541699886,12.324000000,1
2,1,0,1,1,259626218,259626234,5.696939945,12.268839836,6.571899891,12.399000000,1
2,1,0,2,1,259626234,259626250,5.753839970,12.414440155,6.660600185,12.545000000,1
2,1,0,3,0,259626250,259626250,5.772299767,12.555299759,6.782999992,12.693000000,1
2,1,1,0,0,259626250,259626265,5.762440205,12.589539528,6.827099800,12.719000000,1
2,1,1,1,1,259626265,259626281,5.871980190,12.629679680,6.757699966,12.766000000,1
2,1,1,2,1,259626281,259626296,5.925759792,12.644599915,6.718840122,12.786000000,1
2,1,1,3,0,259626296,259626312,5.760839939,12.524740219,6.763899803,12.661000000,1
2,1,2,0,0,259626312,259626328,5.799620152,12.588919640,6.789299965,12.733000000,1
2,1,2,1,1,259626328,259626328,5.835199833,12.605799675,6.770599842,12.743000000,1
2,1,2,2,1,259626328,259626343,5.897640228,12.621979713,6.724339962,12.758000000,1
2,1,2,3,0,259626343,259626359,5.840240002,12.762539864,6.922299862,12.904000000,1
2,1,3,0,0,259626359,259626375,5.751460075,12.530059814,6.778600216,12.837000000,1
2,1,3,1,1,259626375,259626390,5.826139927,12.506039619,6.679900169,12.633000000,1
2,1,3,2,1,259626390,259626390,5.909399986,12.661600113,6.752200127,12.764000000,1
2,1,3,3,0,259626390,259626406,5.788640022,12.580539703,6.791900158,12.724000000,1
2,1,4,0,0,259626406,259626421,5.838900089,12.602999687,6.764100075,12.746000000,1
2,1,4,1,1,259626421,259626437,5.900060177,12.586520195,6.686460018,12.701000000,1
2,1,4,2,1,259626437,259626453,5.885039806,12.726539612,6.841499805,12.856000000,1
2,1,4,3,0,259626453,259626468,5.669159889,12.452560425,6.783400059,12.690000000,1
2,1,5,0,0,259626468,259626468,5.754740238,12.566240311,6.811500072,12.701000000,1
2,1,5,1,1,259626468,259626484,5.806340218,12.574839592,6.768499851,12.723000000,1
2,1,5,2,1,259626484,259626500,5.820879936,12.572480202,6.751599789,12.693000000,1
2,1,5,3,0,259626500,259626515,5.746960163,12.542659760,6.795700073,12.693000000,1
2,1,6,0,0,259626515,259626531,5.835259914,12.560660362,6.725399971,12.693000000,1
