test,slot,mode,marked,frames,wall_ms,segment_ms,bitdiff,replacements,start_ms,end_ms
plain_ab,0,0,0,160,12.820250000,0.000000000,0,0,259876906,259878953
plain_ab,1,1,0,160,12.823425000,0.000000000,0,2560,259879343,259881406
plain_ab,2,1,0,160,12.800193750,0.000000000,0,2560,259881796,259883843
plain_ab,3,0,0,160,12.800525000,0.000000000,0,0,259884234,259886281
plain_ab,4,0,0,160,12.780318750,0.000000000,0,0,259886671,259888703
plain_ab,5,1,0,160,12.836431250,0.000000000,0,2560,259889093,259891156
plain_ab,6,1,0,160,12.801581250,0.000000000,0,2560,259891546,259893593
plain_ab,7,0,0,160,12.785756250,0.000000000,0,0,259893984,259896031
marked_ab,0,0,1,160,12.908143750,1.274848498,0,0,259896421,259898484
marked_ab,1,1,1,160,12.885550000,1.272147249,0,2560,259898875,259900937
marked_ab,2,1,1,160,12.894012500,1.267156003,0,2560,259901328,259903390
marked_ab,3,0,1,160,12.913056250,1.266185875,0,0,259903781,259905843
marked_ab,4,0,1,160,12.941593750,1.276290502,0,0,259906234,259908312
marked_ab,5,1,1,160,12.913962500,1.270022624,0,2560,259908703,259910765
marked_ab,6,1,1,160,12.946918750,1.264244248,0,2560,259911156,259913234
marked_ab,7,0,1,160,12.953218750,1.273523626,0,0,259913625,259915687
marker_base,0,0,0,160,12.886387500,0.000000000,0,0,259916093,259918156
marker_base,1,0,1,160,12.971037500,1.272832499,0,0,259918546,259920609
marker_base,2,0,1,160,12.977343750,1.269814254,0,0,259921000,259923078
marker_base,3,0,0,160,12.862212500,0.000000000,0,0,259923468,259925531
marker_base,4,0,0,160,12.856475000,0.000000000,0,0,259925921,259927984
marker_base,5,0,1,160,12.927343750,1.282274000,0,0,259928375,259930437
marker_base,6,0,1,160,12.958887500,1.277342754,0,0,259930828,259932906
marker_base,7,0,0,160,12.867768750,0.000000000,0,0,259933296,259935359
marker_candidate,0,1,0,160,12.876675000,0.000000000,0,2560,259935750,259937812
marker_candidate,1,1,1,160,12.911487500,1.270772749,0,2560,259938203,259940265
marker_candidate,2,1,1,160,12.938368750,1.270098877,0,2560,259940656,259942718
marker_candidate,3,1,0,160,12.833793750,0.000000000,0,2560,259943109,259945171
marker_candidate,4,1,0,160,12.841250000,0.000000000,0,2560,259945562,259947609
marker_candidate,5,1,1,160,12.915168750,1.267368001,0,2560,259948000,259950078
marker_candidate,6,1,1,160,12.947031250,1.266275125,0,2560,259950468,259952531
marker_candidate,7,1,0,160,12.853668750,0.000000000,0,2560,259952921,259954984
