stage,slot,tiled,tokens,launches,mean_us,output_diff,checked_bytes,start_ms,end_ms
matrix,0,0,640,8976,35.498774510,0,2621440,212677125,212677437
matrix,1,1,640,10289,34.967149383,0,2621440,212677531,212677890
matrix,2,1,640,10000,34.874700000,0,2621440,212677984,212678328
matrix,3,0,640,10047,35.667064795,0,2621440,212678421,212678781
matrix,4,0,640,9261,35.727459238,0,2621440,212678875,212679203
matrix,5,1,640,9523,34.775175890,0,2621440,212679296,212679625
matrix,6,1,640,9343,34.803382211,0,2621440,212679703,212680031
matrix,7,0,640,9142,35.679173047,0,2621440,212680125,212680453
pack,0,0,640,40000,1.826225000,0,655360,212680468,212680546
pack,1,1,640,40000,2.430675000,0,655360,212680562,212680671
pack,2,1,640,40000,2.473200000,0,655360,212680687,212680796
pack,3,0,640,40000,2.339975000,0,655360,212680812,212680906
pack,4,0,640,40000,2.405975000,0,655360,212680937,212681031
pack,5,1,640,40000,3.020500000,0,655360,212681062,212681187
pack,6,1,640,40000,2.961350000,0,655360,212681203,212681328
pack,7,0,640,40000,2.389875000,0,655360,212681343,212681453
pair,0,0,640,6948,38.556563040,0,2621440,212681515,212681781
pair,1,1,640,8387,37.902348873,0,2621440,212681875,212682187
pair,2,1,640,8510,37.857814336,0,2621440,212682281,212682593
pair,3,0,640,8544,39.015449438,0,2621440,212682687,212683015
pair,4,0,640,7032,39.097411832,0,2621440,212683093,212683375
pair,5,1,640,8803,37.838918550,0,2621440,212683453,212683781
pair,6,1,640,8613,37.884244746,0,2621440,212683875,212684203
pair,7,0,640,9370,39.096264674,0,2621440,212684296,212684671
dynamic_control,0,0,640,8672,35.899677122,0,2621440,212684750,212685062
dynamic_control,1,1,640,8864,40.712883574,0,2621440,212685156,212685515
dynamic_control,2,1,640,9052,40.759058772,0,2621440,212685609,212685984
dynamic_control,3,0,640,9861,36.049082243,0,2621440,212686078,212686437
dynamic_control,4,0,640,8695,36.080276021,0,2621440,212686515,212686828
dynamic_control,5,1,640,8488,40.849787936,0,2621440,212686921,212687265
dynamic_control,6,1,640,8184,40.872678397,0,2621440,212687359,212687687
dynamic_control,7,0,640,8839,36.177735038,0,2621440,212687781,212688093
