test,slot,mode,frames,wall_ms,bitdiff,calls,perframe,start_ms,end_ms
1,0,0,160,12.085993750,0,0,218,323538343,323540281
1,1,1,160,12.080318750,0,34880,218,323540640,323542578
1,2,1,160,12.086387500,0,34880,218,323542953,323544875
1,3,0,160,12.089850000,0,0,218,323545250,323547187
1,4,0,160,12.110281250,0,0,218,323547546,323549484
1,5,1,160,12.097012500,0,34880,218,323549859,323551781
1,6,1,160,12.104900000,0,34880,218,323552156,323554093
1,7,0,160,12.128875000,0,0,218,323554468,323556406
2,0,0,160,12.114800000,0,0,218,323556765,323558703
2,1,2,160,12.099075000,0,34880,218,323559078,323561015
2,2,2,160,12.104487500,0,34880,218,323561375,323563312
2,3,0,160,12.129575000,0,0,218,323563687,323565625
2,4,0,160,12.124731250,0,0,218,323566000,323567937
2,5,2,160,12.103625000,0,34880,218,323568312,323570234
2,6,2,160,12.113768750,0,34880,218,323570609,323572546
2,7,0,160,12.136393750,0,0,218,323572921,323574859
3,0,0,160,12.124243750,0,0,218,323575218,323577171
3,1,3,160,12.114312500,0,34880,218,323577531,323579468
3,2,3,160,12.124912500,0,34880,218,323579843,323581781
3,3,0,160,12.148881250,0,0,218,323582156,323584093
3,4,0,160,12.144631250,0,0,218,323584468,323586406
3,5,3,160,12.115687500,0,34880,218,323586781,323588718
3,6,3,160,12.162643750,0,34880,218,323589078,323591031
3,7,0,160,12.192137500,0,0,218,323591390,323593343
