test,slot,mode,repeats,frames,wall_ms,bitdiff,pairs,extra_pairs,expand_launches,replacements,start_ms,end_ms
ab_r1,0,0,1,120,12.850975000,0,960,0,960,0,265839093,265840640
ab_r1,1,1,1,120,12.851066667,0,960,0,960,1920,265841031,265842578
ab_r1,2,1,1,120,12.843050000,0,960,0,960,1920,265842968,265844500
ab_r1,3,0,1,120,12.875225000,0,960,0,960,0,265844890,265846437
ab_r1,4,0,1,120,12.864433333,0,960,0,960,0,265846828,265848375
ab_r1,5,1,1,120,12.858808333,0,960,0,960,1920,265848765,265850312
ab_r1,6,1,1,120,12.855708333,0,960,0,960,1920,265850703,265852250
ab_r1,7,0,1,120,12.868533333,0,960,0,960,0,265852640,265854171
ab_r2,0,0,2,120,13.066041667,0,960,960,1920,0,265854578,265856140
ab_r2,1,1,2,120,13.028083333,0,960,960,1920,1920,265856546,265858109
ab_r2,2,1,2,120,13.036291667,0,960,960,1920,1920,265858500,265860062
ab_r2,3,0,2,120,13.072591667,0,960,960,1920,0,265860468,265862031
ab_r2,4,0,2,120,13.087475000,0,960,960,1920,0,265862437,265864000
ab_r2,5,1,2,120,13.047741667,0,960,960,1920,1920,265864406,265865968
ab_r2,6,1,2,120,13.018475000,0,960,960,1920,1920,265866359,265867921
ab_r2,7,0,2,120,13.081041667,0,960,960,1920,0,265868328,265869890
ab_r4,0,0,4,120,13.565675000,0,960,2880,3840,0,265870296,265871937
ab_r4,1,1,4,120,13.439550000,0,960,2880,3840,1920,265872343,265873953
ab_r4,2,1,4,120,13.438608333,0,960,2880,3840,1920,265874359,265875968
ab_r4,3,0,4,120,13.530400000,0,960,2880,3840,0,265876390,265878015
ab_r4,4,0,4,120,13.518275000,0,960,2880,3840,0,265878421,265880046
ab_r4,5,1,4,120,13.421083333,0,960,2880,3840,1920,265880453,265882062
ab_r4,6,1,4,120,13.421491667,0,960,2880,3840,1920,265882468,265884078
ab_r4,7,0,4,120,13.550825000,0,960,2880,3840,0,265884484,265886109
slope_base,0,0,1,120,12.867350000,0,960,0,960,0,265886515,265888046
slope_base,1,0,4,120,13.535091667,0,960,2880,3840,0,265888468,265890093
slope_base,2,0,4,120,13.532608333,0,960,2880,3840,0,265890500,265892125
slope_base,3,0,1,120,12.869725000,0,960,0,960,0,265892515,265894062
slope_base,4,0,1,120,12.953466667,0,960,0,960,0,265894453,265896000
slope_base,5,0,4,120,13.564433333,0,960,2880,3840,0,265896421,265898046
slope_base,6,0,4,120,13.523850000,0,960,2880,3840,0,265898453,265900078
slope_base,7,0,1,120,12.870300000,0,960,0,960,0,265900468,265902015
slope_candidate,0,1,1,120,12.863666667,0,960,0,960,1920,265902406,265903953
slope_candidate,1,1,4,120,13.451708333,0,960,2880,3840,1920,265904359,265905984
slope_candidate,2,1,4,120,13.422591667,0,960,2880,3840,1920,265906390,265908000
slope_candidate,3,1,1,120,12.858541667,0,960,0,960,1920,265908390,265909937
slope_candidate,4,1,1,120,12.869325000,0,960,0,960,1920,265910328,265911875
slope_candidate,5,1,4,120,13.429158333,0,960,2880,3840,1920,265912281,265913890
slope_candidate,6,1,4,120,13.439941667,0,960,2880,3840,1920,265914296,265915906
slope_candidate,7,1,1,120,12.872716667,0,960,0,960,1920,265916296,265917843
