test,slot,mode,repeats,distinct,frames,wall_ms,bitdiff,pairs,extra_pairs,expand_launches,replacements,start_ms,end_ms
clones_base,0,0,4,0,120,13.520483333,0,960,2880,3840,0,266809515,266811140
clones_base,1,0,4,1,120,13.518733333,0,960,2880,3840,0,266811546,266813171
clones_base,2,0,4,1,120,13.533566667,0,960,2880,3840,0,266813578,266815203
clones_base,3,0,4,0,120,13.580025000,0,960,2880,3840,0,266815625,266817250
clones_base,4,0,4,0,120,13.574100000,0,960,2880,3840,0,266817656,266819281
clones_base,5,0,4,1,120,13.524391667,0,960,2880,3840,0,266819703,266821328
clones_base,6,0,4,1,120,13.529225000,0,960,2880,3840,0,266821734,266823359
clones_base,7,0,4,0,120,13.571300000,0,960,2880,3840,0,266823765,266825406
clones_candidate,0,1,4,0,120,13.477050000,0,960,2880,3840,1920,266825812,266827421
clones_candidate,1,1,4,1,120,13.464116667,0,960,2880,3840,1920,266827828,266829453
clones_candidate,2,1,4,1,120,13.463025000,0,960,2880,3840,1920,266829859,266831468
clones_candidate,3,1,4,0,120,13.437650000,0,960,2880,3840,1920,266831890,266833500
clones_candidate,4,1,4,0,120,13.456900000,0,960,2880,3840,1920,266833906,266835515
clones_candidate,5,1,4,1,120,13.442758333,0,960,2880,3840,1920,266835921,266837546
clones_candidate,6,1,4,1,120,13.429716667,0,960,2880,3840,1920,266837953,266839562
clones_candidate,7,1,4,0,120,13.456583333,0,960,2880,3840,1920,266839968,266841578
ab_clones,0,0,4,1,120,13.512300000,0,960,2880,3840,0,266842000,266843609
ab_clones,1,1,4,1,120,13.458366667,0,960,2880,3840,1920,266844031,266845640
ab_clones,2,1,4,1,120,13.463408333,0,960,2880,3840,1920,266846046,266847671
ab_clones,3,0,4,1,120,13.532000000,0,960,2880,3840,0,266848078,266849703
ab_clones,4,0,4,1,120,13.509733333,0,960,2880,3840,0,266850109,266851734
ab_clones,5,1,4,1,120,13.460058333,0,960,2880,3840,1920,266852140,266853750
ab_clones,6,1,4,1,120,13.469533333,0,960,2880,3840,1920,266854171,266855781
ab_clones,7,0,4,1,120,13.583383333,0,960,2880,3840,0,266856203,266857828
