test,slot,mode,repeats,single,frames,wall_ms,bitdiff,pairs,extra_pairs,expand_launches,replacements,start_ms,end_ms
concentrate_base,0,0,4,0,120,18.806716667,0,960,2880,3840,0,266146890,266149140
concentrate_base,1,0,4,1,120,18.826366667,0,960,2880,3840,0,266149718,266151984
concentrate_base,2,0,4,1,120,18.860250000,0,960,2880,3840,0,266152546,266154812
concentrate_base,3,0,4,0,120,18.925750000,0,960,2880,3840,0,266155390,266157656
concentrate_base,4,0,4,0,120,18.933833333,0,960,2880,3840,0,266158234,266160500
concentrate_base,5,0,4,1,120,18.886900000,0,960,2880,3840,0,266161078,266163343
concentrate_base,6,0,4,1,120,18.917550000,0,960,2880,3840,0,266163921,266166187
concentrate_base,7,0,4,0,120,18.954941667,0,960,2880,3840,0,266166765,266169046
concentrate_candidate,0,1,4,0,120,18.886250000,0,960,2880,3840,1920,266169625,266171890
concentrate_candidate,1,1,4,1,120,18.885641667,0,960,2880,3840,1920,266172453,266174734
concentrate_candidate,2,1,4,1,120,18.879133333,0,960,2880,3840,1920,266175296,266177562
concentrate_candidate,3,1,4,0,120,18.907791667,0,960,2880,3840,1920,266178140,266180406
concentrate_candidate,4,1,4,0,120,18.935841667,0,960,2880,3840,1920,266180984,266183265
concentrate_candidate,5,1,4,1,120,18.939991667,0,960,2880,3840,1920,266183843,266186109
concentrate_candidate,6,1,4,1,120,18.932783333,0,960,2880,3840,1920,266186687,266188953
concentrate_candidate,7,1,4,0,120,18.959666667,0,960,2880,3840,1920,266189531,266191812
ab_concentrated,0,0,4,1,120,19.040641667,0,960,2880,3840,0,266192390,266194671
ab_concentrated,1,1,4,1,120,19.003300000,0,960,2880,3840,1920,266195250,266197531
ab_concentrated,2,1,4,1,120,18.959783333,0,960,2880,3840,1920,266198109,266200390
ab_concentrated,3,0,4,1,120,19.031983333,0,960,2880,3840,0,266200968,266203250
ab_concentrated,4,0,4,1,120,19.053183333,0,960,2880,3840,0,266203828,266206109
ab_concentrated,5,1,4,1,120,18.957383333,0,960,2880,3840,1920,266206687,266208968
ab_concentrated,6,1,4,1,120,18.960650000,0,960,2880,3840,1920,266209546,266211812
ab_concentrated,7,0,4,1,120,19.090075000,0,960,2880,3840,0,266212406,266214687
