test,slot,mode,repeats,distinct,frames,wall_ms,bitdiff,pairs,extra_pairs,expand_launches,replacements,start_ms,end_ms
clones_base,0,0,4,0,120,13.513183333,0,960,2880,3840,0,266599890,266601515
clones_base,1,0,4,1,120,13.486691667,0,960,2880,3840,0,266601921,266603531
clones_base,2,0,4,1,120,13.492450000,0,960,2880,3840,0,266603953,266605562
clones_base,3,0,4,0,120,13.526175000,0,960,2880,3840,0,266605984,266607609
clones_base,4,0,4,0,120,13.522633333,0,960,2880,3840,0,266608015,266609640
clones_base,5,0,4,1,120,13.490458333,0,960,2880,3840,0,266610046,266611671
clones_base,6,0,4,1,120,13.475166667,0,960,2880,3840,0,266612078,266613703
clones_base,7,0,4,0,120,13.549400000,0,960,2880,3840,0,266614109,266615734
clones_candidate,0,1,4,0,120,13.493400000,0,960,2880,3840,1920,266616140,266617765
clones_candidate,1,1,4,1,120,13.423516667,0,960,2880,3840,1920,266618171,266619781
clones_candidate,2,1,4,1,120,13.406141667,0,960,2880,3840,1920,266620203,266621812
clones_candidate,3,1,4,0,120,13.407483333,0,960,2880,3840,1920,266622218,266623828
clones_candidate,4,1,4,0,120,13.416366667,0,960,2880,3840,1920,266624234,266625843
clones_candidate,5,1,4,1,120,13.419825000,0,960,2880,3840,1920,266626250,266627859
clones_candidate,6,1,4,1,120,13.419766667,0,960,2880,3840,1920,266628265,266629875
clones_candidate,7,1,4,0,120,13.409091667,0,960,2880,3840,1920,266630281,266631890
ab_clones,0,0,4,1,120,13.513366667,0,960,2880,3840,0,266632312,266633921
ab_clones,1,1,4,1,120,13.431216667,0,960,2880,3840,1920,266634343,266635953
ab_clones,2,1,4,1,120,13.445166667,0,960,2880,3840,1920,266636359,266637968
ab_clones,3,0,4,1,120,13.522483333,0,960,2880,3840,0,266638390,266640000
ab_clones,4,0,4,1,120,13.509308333,0,960,2880,3840,0,266640421,266642031
ab_clones,5,1,4,1,120,13.440925000,0,960,2880,3840,1920,266642453,266644062
ab_clones,6,1,4,1,120,13.424516667,0,960,2880,3840,1920,266644468,266646078
ab_clones,7,0,4,1,120,13.501408333,0,960,2880,3840,0,266646484,266648109
