variant,slot,tokens,launches,mean_us,output_diff,checked_bytes,start_ms,end_ms
expand_fixed,0,400,2073,32.392667631,0,1638400,207176500,207176562
expand_fixed,1,400,6736,24.111638955,0,1638400,207176609,207176765
expand_fixed,2,400,6911,24.155549125,0,1638400,207176812,207176968
expand_fixed,3,400,5442,32.861447997,0,1638400,207177015,207177203
expand_fixed,4,400,5203,32.966365558,0,1638400,207177234,207177406
expand_fixed,5,400,6708,24.170840787,0,1638400,207177453,207177625
expand_fixed,6,400,6765,24.188470067,0,1638400,207177656,207177828
expand_fixed,7,400,5378,32.864075865,0,1638400,207177875,207178046
expand_fixed_roll,0,400,5271,32.635742743,0,1638400,207178093,207178265
expand_fixed_roll,1,400,5776,31.658933518,0,1638400,207178312,207178484
expand_fixed_roll,2,400,5673,31.689405958,0,1638400,207178531,207178718
expand_fixed_roll,3,400,5423,32.881799742,0,1638400,207178765,207178937
expand_fixed_roll,4,400,4892,32.761856092,0,1638400,207178984,207179140
expand_fixed_roll,5,400,5460,31.847802198,0,1638400,207179187,207179359
expand_fixed_roll,6,400,4892,31.608544563,0,1638400,207179406,207179562
expand_fixed_roll,7,400,5786,32.844279295,0,1638400,207179609,207179796
expand_dynamic_u4,0,400,4664,32.859348199,0,1638400,207179828,207179984
expand_dynamic_u4,1,400,4783,32.877900899,0,1638400,207180031,207180187
expand_dynamic_u4,2,400,5517,32.953054196,0,1638400,207180234,207180421
expand_dynamic_u4,3,400,4733,33.252482569,0,1638400,207180453,207180609
expand_dynamic_u4,4,400,5797,32.934793859,0,1638400,207180656,207180859
expand_dynamic_u4,5,400,4892,32.781479967,0,1638400,207180890,207181062
expand_dynamic_u4,6,400,5555,32.955715572,0,1638400,207181093,207181281
expand_dynamic_u4,7,400,5271,32.711060520,0,1638400,207181328,207181500
expand_fixed_u4,0,400,4747,32.868127238,0,1638400,207181546,207181703
expand_fixed_u4,1,400,5594,24.476045763,0,1638400,207181734,207181875
expand_fixed_u4,2,400,6808,24.155405405,0,1638400,207181921,207182078
expand_fixed_u4,3,400,4664,32.946183533,0,1638400,207182125,207182265
expand_fixed_u4,4,400,4617,32.949967511,0,1638400,207182312,207182468
expand_fixed_u4,5,400,6530,24.266615620,0,1638400,207182500,207182656
expand_fixed_u4,6,400,6971,24.154640654,0,1638400,207182703,207182875
expand_fixed_u4,7,400,5488,33.037172012,0,1638400,207182921,207183109
