variant,slot,mode,frames,mean_ms,bitdiff,replacements,start_ms,end_ms
1,0,0,100,12.840300000,0,0,207321437,207322718
1,1,1,100,12.736170000,0,800,207323234,207324515
1,2,1,100,12.763440000,0,800,207325031,207326296
1,3,0,100,12.833850000,0,0,207326828,207328109
1,4,0,100,12.832910000,0,0,207328625,207329906
1,5,1,100,12.763200000,0,800,207330421,207331703
1,6,1,100,12.787270000,0,800,207332218,207333500
1,7,0,100,12.890060000,0,0,207334015,207335296
2,0,0,100,12.929950000,0,0,207335828,207337109
2,1,2,100,13.366790000,0,800,207337656,207338984
2,2,2,100,13.310370000,0,800,207339531,207340859
2,3,0,100,12.899770000,0,0,207341375,207342671
2,4,0,100,12.881940000,0,0,207343187,207344484
2,5,2,100,13.312240000,0,800,207345015,207346343
2,6,2,100,13.309490000,0,800,207346890,207348218
2,7,0,100,12.895240000,0,0,207348734,207350031
