bm,order,copies,slot,original,tokens,launches,groups,mean_us,per_copy_us,output_diff,checked_bytes,start_ms,end_ms
1,major,1,0,1,640,6324,2560,35.028779254,35.028779254,0,2621440,211078953,211079171
1,major,1,1,0,640,9467,2560,36.116404352,36.116404352,0,2621440,211079265,211079609
1,major,1,2,0,640,9495,2560,35.976619273,35.976619273,0,2621440,211079703,211080046
1,major,1,3,1,640,9384,2560,35.721973572,35.721973572,0,2621440,211080140,211080484
1,major,1,4,1,640,9741,2560,35.853300482,35.853300482,0,2621440,211080578,211080937
1,major,1,5,0,640,9770,2560,36.087615148,36.087615148,0,2621440,211081031,211081375
1,major,1,6,0,640,9411,2560,36.158006588,36.158006588,0,2621440,211081468,211081812
1,major,1,7,1,640,9315,2560,35.826945786,35.826945786,0,2621440,211081906,211082234
1,major,2,0,1,640,9425,2560,35.791936340,35.791936340,0,2621440,211082343,211082671
1,major,2,1,0,640,5409,5120,70.546496580,35.273248290,0,5242880,211082781,211083171
1,major,2,2,0,640,5311,5120,70.634720392,35.317360196,0,5242880,211083281,211083656
1,major,2,3,1,640,8344,2560,35.762583893,35.762583893,0,2621440,211083734,211084031
1,major,2,4,1,640,10289,2560,35.869472252,35.869472252,0,2621440,211084140,211084500
1,major,2,5,0,640,5488,5120,70.680575802,35.340287901,0,5242880,211084609,211085000
1,major,2,6,0,640,5446,5120,70.772493573,35.386246787,0,5242880,211085125,211085500
1,major,2,7,1,640,10094,2560,35.954626511,35.954626511,0,2621440,211085609,211085968
1,major,4,0,1,640,9653,2560,35.943851652,35.943851652,0,2621440,211086062,211086406
1,major,4,1,0,640,2868,10240,140.892956764,35.223239191,0,10485760,211086531,211086937
1,major,4,2,0,640,2772,10240,141.254329004,35.313582251,0,10485760,211087078,211087468
1,major,4,3,1,640,9922,2560,36.148558758,36.148558758,0,2621440,211087562,211087921
1,major,4,4,1,640,10047,2560,36.113466706,36.113466706,0,2621440,211088031,211088390
1,major,4,5,0,640,2858,10240,141.415325402,35.353831351,0,10485760,211088515,211088921
1,major,4,6,0,640,2645,10240,141.567863894,35.391965974,0,10485760,211089046,211089421
1,major,4,7,1,640,9195,2560,36.260250136,36.260250136,0,2621440,211089531,211089859
1,major,8,0,1,640,9682,2560,36.201611237,36.201611237,0,2621440,211089953,211090312
1,major,8,1,0,640,1376,20480,281.437500000,35.179687500,0,20971520,211090453,211090843
1,major,8,2,0,640,1404,20480,281.037749288,35.129718661,0,20971520,211091000,211091390
1,major,8,3,1,640,9770,2560,36.313715455,36.313715455,0,2621440,211091515,211091875
1,major,8,4,1,640,9800,2560,36.309183673,36.309183673,0,2621440,211091968,211092328
1,major,8,5,0,640,1420,20480,281.677464789,35.209683099,0,20971520,211092468,211092875
1,major,8,6,0,640,1390,20480,281.173381295,35.146672662,0,20971520,211093031,211093421
1,major,8,7,1,640,9370,2560,36.987193170,36.987193170,0,2621440,211093546,211093890
1,interleave,1,0,1,640,9624,2560,36.613778055,36.613778055,0,2621440,211093984,211094343
1,interleave,1,1,0,640,9984,2560,36.285857372,36.285857372,0,2621440,211094437,211094796
1,interleave,1,2,0,640,9653,2560,36.287682586,36.287682586,0,2621440,211094890,211095250
1,interleave,1,3,1,640,10031,2560,36.444422291,36.444422291,0,2621440,211095343,211095703
1,interleave,1,4,1,640,9756,2560,36.489237392,36.489237392,0,2621440,211095812,211096156
1,interleave,1,5,0,640,9370,2560,36.197865528,36.197865528,0,2621440,211096250,211096593
1,interleave,1,6,0,640,9001,2560,36.246417065,36.246417065,0,2621440,211096687,211097015
1,interleave,1,7,1,640,9302,2560,36.400129005,36.400129005,0,2621440,211097109,211097437
